MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     3.1416016 s         3/30/2023 10:45:31 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00072446419 2.3474545 0.020507813
0.00013139797 1.7533451 0.030273438
0.00017709099 1.5879422 0.040039063
0.0005005626 2.1187961 0.049804688
9.1735274e-05 1.8320978 0.059570313
0.0077821314 10.453314 0.069335938
0.022260426 23.839027 0.079101563
0.038016401 39.865227 0.088867188
0.055959415 56.376011 0.098632813
0.070907429 70.406197 0.10839844
0.089265421 85.822716 0.11816406
0.10584605 103.33486 0.12792969
0.12096412 118.63813 0.13769531
0.1379917 132.66675 0.14746094
0.15449186 149.21777 0.15722656
0.17026396 163.05574 0.16699219
0.18846901 178.3166 0.17675781
0.20377232 194.48705 0.18652344
0.2207406 210.36624 0.19628906
0.23645911 226.36749 0.20605469
0.25421467 240.50534 0.21582031
0.26999938 255.72604 0.22558594
0.28694984 270.54733 0.23535156
0.30507451 286.31403 0.24511719
0.32104442 302.65228 0.25488281
0.33873144 318.49658 0.26464844
0.35467204 333.02927 0.27441406
0.37005094 346.30246 0.28417969
0.38711491 360.08774 0.29394531
0.40406251 375.34683 0.30371094
0.42008656 390.09369 0.31347656
0.43574247 403.76602 0.32324219
0.452104  419.39166 0.33300781
0.46937788 433.65161 0.34277344
0.48611537 447.5585 0.35253906
0.50202066 463.03885 0.36230469
0.52017653 477.4053 0.37207031
0.53575206 492.49713 0.38183594
0.55259097 507.14542 0.39160156
0.56946117 522.86774 0.40136719
0.58426106 534.97241 0.41113281
0.6027022 548.02789 0.42089844
0.61833256 562.76636 0.43066406
0.63515329 576.32117 0.44042969
0.65198964 591.08276 0.45019531
0.66747904 604.21948 0.45996094
0.68434376 617.95044 0.46972656
0.70077264 631.07886 0.47949219
0.71803325 645.17572 0.48925781
0.73273045 658.52069 0.49902344
0.75074959 672.76233 0.50878906
0.76821858 688.02777 0.51855469
0.78419662 700.49622 0.52832031
0.80023867 713.3197 0.53808594
0.8151803 725.50812 0.54785156
0.83340454 740.21313 0.55761719
0.84987658 753.04895 0.56738281
0.86784941 766.85382 0.57714844
0.88406432 779.00171 0.58691406
0.90039885 790.25928 0.59667969
0.9156422 801.85779 0.60644531
0.9341678 812.93134 0.61621094
0.9494437 826.26471 0.62597656
0.96580881 838.28699 0.63574219
0.98247659 850.01465 0.64550781
0.99835581 862.22235 0.65527344
1.0145237 871.59021 0.66503906
1.0303336 882.1665  0.67480469
1.0472326 892.51471 0.68457031
1.0640057 902.95032 0.69433594
1.0800204 912.1615  0.70410156
1.096504  921.04236 0.71386719
1.1142724 930.69031 0.72363281
1.1301337 936.88348 0.73339844
1.1478528 943.46033 0.74316406
1.16536   950.37537 0.75292969
1.1810668 953.7384  0.76269531
1.1963171 956.44611 0.77246094
1.2129889 956.14142 0.78222656
1.2303991 954.96661 0.79199219
1.2459161 952.26666 0.80175781
1.2641369 948.41565 0.81152344
1.2820945 939.77246 0.82128906
1.2971148 929.83423 0.83105469
1.3140031 920.75983 0.84082031
1.3311725 907.71613 0.85058594
1.3481368 898.29181 0.86035156
1.3652638 888.72992 0.87011719
1.3811609 880.29907 0.87988281
1.3977312 870.31592 0.88964844
1.4142252 865.09637 0.89941406
1.432446  857.41602 0.90917969
1.4478608 850.12018 0.91894531
1.4645344 844.15906 0.92871094
1.4809518 839.83026 0.93847656
1.4988731 835.74609 0.94824219
1.5143059 832.26807 0.95800781
1.5304672 827.60022 0.96777344
