MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     0.94921875 s        4/25/2023 2:21:09 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00064733904 -0.060349703 0.020507813
0.00043058535 -0.66109002 0.030273438
0.0001972774 -1.6375631 0.040039063
-0.00061143655 -1.4485419 0.049804688
9.938376e-05 -0.41939318 0.059570313
0.01004819 7.2214007 0.069335938
0.024665834 19.114241 0.079101563
0.041869864 31.423569 0.088867188
0.05829411 43.6572  0.098632813
0.075295076 56.330711 0.10839844
0.092874676 69.084541 0.11816406
0.11029607 82.620308 0.12792969
0.12589595 94.998405 0.13769531
0.14124627 106.44011 0.14746094
0.15868019 117.70241 0.15722656
0.17588769 130.15829 0.16699219
0.19218512 141.70326 0.17675781
0.20845641 153.30762 0.18652344
0.22502555 165.72691 0.19628906
0.24092677 177.19119 0.20605469
0.25794309 188.43271 0.21582031
0.27456954 199.43491 0.22558594
0.29105297 210.17738 0.23535156
0.30737609 222.20702 0.24511719
0.3234244 233.493   0.25488281
0.34009162 244.82437 0.26464844
0.35611606 255.24402 0.27441406
0.37285653 264.87683 0.28417969
0.38927704 275.51443 0.29394531
0.4063257 285.8981  0.30371094
0.42273304 296.44168 0.31347656
0.4389686 306.85037 0.32324219
0.45700195 316.50677 0.33300781
0.47265798 325.73587 0.34277344
0.4890832 334.72046 0.35253906
0.50609475 343.59061 0.36230469
0.52249753 352.79089 0.37207031
0.53844845 361.88181 0.38183594
0.55496979 370.39102 0.39160156
0.57229483 378.14905 0.40136719
0.58758461 385.03094 0.41113281
0.60508859 392.41696 0.42089844
0.62236917 400.07483 0.43066406
0.63880914 407.2963 0.44042969
0.65589362 414.01062 0.45019531
0.67231303 418.77158 0.45996094
0.68767619 423.78568 0.46972656
0.70422256 427.64124 0.47949219
0.7399745 70.251373 0.48925781
0.74350005 39.360821 0.49902344
0.75786829 -24.954081 0.50878906
0.7764715 -22.323429 0.51855469
0.79118907 -0.95874071 0.52832031
0.8083027 -0.078603625 0.53808594
0.82463098 -2.2016466 0.54785156
0.84035629 -6.7720561 0.55761719
0.85812545 -8.64923 0.56738281
0.87408394 -2.305582 0.57714844
0.89097649 2.8690696 0.58691406
0.90745634 -1.2847781 0.59667969
0.92380875 -7.5461717 0.60644531
0.94050777 -8.9816751 0.61621094
0.95715278 -6.6269188 0.62597656
0.97441918 -4.5099854 0.63574219
0.99058378 -2.0050259 0.64550781
1.0071127 -2.4875998 0.65527344
1.02372   -3.3179669 0.66503906
1.040054  -4.4296684 0.67480469
1.0571673 -4.8899651 0.68457031
1.0736446 -4.6459584 0.69433594
1.0897309 -4.4899435 0.70410156
1.1063985 -4.4442711 0.71386719
1.1233113 -4.4128299 0.72363281
1.13955   -4.8463793 0.73339844
1.1559168 -4.5967846 0.74316406
1.1731359 -3.9963424 0.75292969
1.1895775 -4.1577964 0.76269531
1.2066061 -4.1022153 0.77246094
1.222931  -4.5040994 0.78222656
1.2394942 -5.0406904 0.79199219
1.2554607 -4.7313423 0.80175781
1.2717794 -4.3158979 0.81152344
1.2893015 -3.8509817 0.82128906
1.3053811 -4.622489 0.83105469
1.322129  -4.8053265 0.84082031
1.3390092 -5.1689148 0.85058594
1.3555479 -5.0795822 0.86035156
1.3726184 -5.0858407 0.87011719
1.3889712 -4.3598561 0.87988281
1.4053252 -3.7564337 0.88964844
1.4220197 -4.3407826 0.89941406
1.4389989 -5.0076098 0.90917969
1.4550973 -4.5960398 0.91894531
1.4710054 -4.8076363 0.92871094
1.4886037 -4.7624855 0.93847656
1.5054028 -3.8284807 0.94824219

