MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.4541016 s         5/8/2023 9:48:57 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.0012470235 1.4697015 0.022460938
0.00081456965 1.5106797 0.032226563
0.00062720501 2.1629782 0.041992188
0.0020122912 2.7363749 0.051757813
0.011035696 9.0402365 0.061523438
0.026877353 20.461306 0.071289063
0.044665694 33.419209 0.081054688
0.062138855 46.589001 0.090820313
0.079681292 59.061943 0.10058594
0.096559085 71.182327 0.11035156
0.11348744 82.840103 0.12011719
0.1288732 94.243286 0.12988281
0.14536887 105.37431 0.13964844
0.16164012 117.10078 0.14941406
0.17955947 128.70245 0.15917969
0.19537754 140.19489 0.16894531
0.21170239 151.55495 0.17871094
0.22827882 162.24512 0.18847656
0.24478672 173.136  0.19824219
0.26098958 183.87228 0.20800781
0.27818346 195.06276 0.21777344
0.29413316 205.87712 0.22753906
0.31040421 216.53682 0.23730469
0.32719061 227.14987 0.24707031
0.34390715 236.84724 0.25683594
0.36026722 246.94518 0.26660156
0.37701622 256.92105 0.27636719
0.39338157 267.24899 0.28613281
0.41077098 276.79419 0.29589844
0.42730844 286.37872 0.30566406
0.44389996 295.44919 0.31542969
0.46027091 304.11954 0.32519531
0.47702402 313.05121 0.33496094
0.49381799 321.51462 0.34472656
0.51077563 330.12097 0.35449219
0.52652943 338.06726 0.36425781
0.54362082 345.84082 0.37402344
0.56016636 352.93683 0.38378906
0.57642883 359.57123 0.39355469
0.59288299 366.45816 0.40332031
0.60951477 372.11224 0.41308594
0.62619585 377.88516 0.42285156
0.64252949 382.12836 0.43261719
0.66653818 -34.691544 0.44238281
0.68204564 -38.417427 0.45214844
0.69605589 3.726706 0.46191406
0.71196604 -2.5360286 0.47167969
0.72895849 -7.7931585 0.48144531
0.7456519 -3.7882476 0.49121094
0.76303941 -9.5845013 0.50097656
0.77952987 -5.2531061 0.51074219
0.796471  -0.37536025 0.52050781
0.81276488 -7.0592761 0.53027344
0.82954741 -12.026056 0.54003906
0.84645098 -7.6902657 0.54980469
0.86226618 -4.8661976 0.55957031
0.87908483 -5.0442667 0.56933594
0.8956942 -4.9586592 0.57910156
0.91232765 -5.1797924 0.58886719
0.92905271 -5.8692694 0.59863281
0.94519663 -6.314218 0.60839844
0.96220118 -5.7334452 0.61816406
0.97851926 -6.4262004 0.62792969
0.99477649 -5.933568 0.63769531
1.0114148 -5.2212925 0.64746094
1.028832  -5.2779913 0.65722656
1.0447774 -5.8393927 0.66699219
1.0618722 -6.2109528 0.67675781
1.0788738 -6.2596054 0.68652344
1.0952387 -6.4947457 0.69628906
1.1120831 -6.4038486 0.70605469
1.1277777 -6.3785911 0.71582031
1.1442226 -6.0382485 0.72558594
1.1616973 -5.7647376 0.73535156
1.1777858 -6.0488281 0.74511719
1.1949971 -6.4311924 0.75488281
1.211668  -6.7736206 0.76464844
1.2279717 -6.5737963 0.77441406
1.2438884 -6.2382221 0.78417969
1.2607744 -5.8609247 0.79394531
1.2779118 -6.0321388 0.80371094
1.2938423 -6.1561913 0.81347656
1.3104497 -6.2657146 0.82324219
1.3270059 -6.6187234 0.83300781
1.3427062 -6.4869223 0.84277344
1.3597101 -6.215498 0.85253906
1.3762778 -5.9498844 0.86230469
1.392601  -6.1056018 0.87207031
1.4096285 -6.218627 0.88183594
1.4260967 -6.582737 0.89160156
1.4421237 -6.541461 0.90136719
1.4594158 -6.4834952 0.91113281
1.4761198 -5.9951839 0.92089844
