MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     2.0302734 s         3/30/2023 12:50:46 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00040011946 0.55901706 0.020507813
0.00066452194 0.78111887 0.030273438
0.0096477568 6.2019377 0.040039063
0.02426561 16.81082 0.049804688
0.043237746 28.411299 0.059570313
0.060461577 40.433258 0.069335938
0.07720273 51.385536 0.079101563
0.094045162 61.948448 0.088867188
0.11088091 72.541016 0.098632813
0.12688853 83.368568 0.10839844
0.14343743 93.507843 0.11816406
0.16054709 103.67692 0.12792969
0.17692305 115.29371 0.13769531
0.19311684 125.71663 0.14746094
0.20915845 135.43658 0.15722656
0.22576305 145.44807 0.16699219
0.2428679 156.02357 0.17675781
0.25894746 165.91676 0.18652344
0.27648181 176.78506 0.19628906
0.29220095 187.41347 0.20605469
0.30866599 196.97166 0.21582031
0.32573372 207.02318 0.22558594
0.34192574 216.80721 0.23535156
0.35814697 227.09966 0.24511719
0.37509605 237.43846 0.25488281
0.39220393 248.04823 0.26464844
0.40899712 258.48166 0.27441406
0.42501345 267.65579 0.28417969
0.44130784 277.4407 0.29394531
0.45830336 286.7388 0.30371094
0.4740577 297.40594 0.31347656
0.49136776 307.3877 0.32324219
0.50769103 317.14523 0.33300781
0.52393585 326.48758 0.34277344
0.54038113 335.81689 0.35253906
0.55683726 345.06671 0.36230469
0.57336563 355.173  0.37207031
0.59047091 365.01862 0.38183594
0.60666478 374.50516 0.39160156
0.62328768 384.17035 0.40136719
0.63965243 392.77585 0.41113281
0.65648657 402.10425 0.42089844
0.6730597 410.95764 0.43066406
0.68991733 420.48096 0.44042969
0.70639145 430.07303 0.45019531
0.72174144 438.80875 0.45996094
0.73878056 447.77634 0.46972656
0.75579751 456.74774 0.47949219
0.77218449 465.1889 0.48925781
0.78889614 474.49976 0.49902344
0.80548018 482.91266 0.50878906
0.82133746 492.0788 0.51855469
0.83798128 499.74915 0.52832031
0.85486448 507.78848 0.53808594
0.87166852 515.95856 0.54785156
0.88728952 523.65063 0.55761719
0.90402389 531.79633 0.56738281
0.92127216 540.00946 0.57714844
0.93772048 547.62042 0.58691406
0.95410389 554.61542 0.59667969
0.97070462 561.11475 0.60644531
0.98672414 567.57507 0.61621094
1.0041859 574.20483 0.62597656
1.020546  581.03101 0.63574219
1.0372746 587.52441 0.64550781
1.0537908 592.11591 0.65527344
1.0704963 596.75537 0.66503906
1.0870488 600.89484 0.67480469
1.1034172 604.94287 0.68457031
1.1193591 608.42725 0.69433594
1.1366498 610.64221 0.70410156
1.1541257 612.29443 0.71386719
1.1705602 612.27338 0.72363281
1.1870748 611.04468 0.73339844
1.20356   609.18365 0.74316406
1.220284  606.76801 0.75292969
1.2363437 603.94366 0.76269531
1.2534435 600.99536 0.77246094
1.2707318 597.50305 0.78222656
1.2868767 592.98059 0.79199219
1.3036321 588.9126  0.80175781
1.320105  585.88422 0.81152344
1.3364677 583.07544 0.82128906
1.3535705 579.89691 0.83105469
1.3705041 577.35413 0.84082031
1.3872681 574.3446  0.85058594
1.4034932 571.29346 0.86035156
1.4201102 569.15094 0.87011719
1.4363979 567.36047 0.87988281
1.4528829 565.53741 0.88964844
1.4695698 563.70544 0.89941406
1.4865463 561.68524 0.90917969
1.5025686 559.73126 0.91894531
1.5188472 558.48419 0.92871094
1.5361776 556.96533 0.93847656
1.5528961 556.30182 0.94824219
1.5696003 555.11261 0.95800781
1.5867971 554.00635 0.96777344
