MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     2.34375   s         3/30/2023 12:42:30 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00072951661 0.12263656 0.020507813
0.00027108472 0.30569732 0.030273438
1.2794044e-05 0.11473894 0.040039063
-0.00017262064 1.1570752 0.049804688
0.00071688555 1.7937273 0.059570313
0.010170612 7.6441469 0.069335938
0.026464812 18.510744 0.079101563
0.04313793 30.473768 0.088867188
0.06028742 42.73288 0.098632813
0.076583236 54.972095 0.10839844
0.093158774 66.668915 0.11816406
0.10944325 77.465401 0.12792969
0.1265479 88.704674 0.13769531
0.14300796 99.774597 0.14746094
0.15980771 111.27472 0.15722656
0.17623061 123.59   0.16699219
0.19286603 135.08484 0.17675781
0.20835714 146.03741 0.18652344
0.22538148 156.53722 0.19628906
0.24228093 167.61617 0.20605469
0.2585482 178.88129 0.21582031
0.27552679 190.49242 0.22558594
0.2913188 201.98018 0.23535156
0.30822179 213.04459 0.24511719
0.32484037 224.1835 0.25488281
0.34139526 234.29111 0.26464844
0.35808215 245.43881 0.27441406
0.37400684 256.14322 0.28417969
0.39089045 267.34351 0.29394531
0.4070515 278.23444 0.30371094
0.42394254 288.86139 0.31347656
0.44052449 299.28171 0.32324219
0.45763448 310.28802 0.33300781
0.47332075 321.11703 0.34277344
0.49066621 332.39557 0.35253906
0.50770438 343.08798 0.36230469
0.52363467 353.0079 0.37207031
0.5407384 363.71802 0.38183594
0.55706513 373.45081 0.39160156
0.57396561 383.82178 0.40136719
0.59030581 394.84686 0.41113281
0.60610199 405.13699 0.42089844
0.62299818 415.17819 0.43066406
0.6393277 425.23279 0.44042969
0.65571809 434.96411 0.45019531
0.67281038 445.26465 0.45996094
0.68889767 455.39337 0.46972656
0.70552158 465.58829 0.47949219
0.72133404 475.48438 0.48925781
0.73833543 484.91809 0.49902344
0.75490606 494.45416 0.50878906
0.77188307 503.00259 0.51855469
0.78837109 513.11353 0.52832031
0.80457902 522.26105 0.53808594
0.82079089 531.9325 0.54785156
0.83770531 541.12207 0.55761719
0.85462773 549.75531 0.56738281
0.87115699 557.89734 0.57714844
0.88822538 566.61957 0.58691406
0.90421122 574.97913 0.59667969
0.92041171 583.17859 0.60644531
0.93662322 590.88757 0.61621094
0.95343053 598.32837 0.62597656
0.97059572 605.06689 0.63574219
0.98723578 612.21442 0.64550781
1.0034479 619.30157 0.65527344
1.020465  626.24402 0.66503906
1.037524  632.39532 0.67480469
1.0534605 637.52478 0.68457031
1.0699548 642.27948 0.69433594
1.0871217 647.1322  0.70410156
1.1036946 651.22876 0.71386719
1.1194091 655.09155 0.72363281
1.1367691 657.49634 0.73339844
1.153136  659.48138 0.74316406
1.1695639 660.63483 0.75292969
1.1861171 659.59839 0.76269531
1.2029105 658.69739 0.77246094
1.2202168 656.33545 0.78222656
1.2367283 652.86328 0.79199219
1.2532344 648.87366 0.80175781
1.2696315 643.40149 0.81152344
1.286165  637.85492 0.82128906
1.3030339 633.08966 0.83105469
1.3198975 627.80402 0.84082031
1.336136  623.43561 0.85058594
1.3540602 619.04205 0.86035156
1.370028  615.02167 0.87011719
1.3863418 611.01251 0.87988281
1.4033124 606.93396 0.88964844
1.4205356 603.79968 0.89941406
1.4367609 601.17328 0.90917969
1.4534732 598.64508 0.91894531
1.470078  596.39191 0.92871094
1.4861877 593.60162 0.93847656
1.5029917 591.32642 0.94824219
1.5198747 588.73004 0.95800781
1.5359941 587.21857 0.96777344
