MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.0205078 s         4/25/2023 2:49:56 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00025530462 -0.73753297 0.01953125
0.00044888584 -1.2795627 0.029296875
-6.9994712e-05 -0.78991055 0.0390625
0.0003562076 -0.16510487 0.048828125
0.0043659061 2.1450968 0.05859375
0.018229377 8.4427748 0.068359375
0.034438942 14.781133 0.078125
0.051850565 22.75005 0.087890625
0.068338744 29.830338 0.09765625
0.085241169 37.319958 0.10742188
0.10139235 45.435505 0.1171875
0.1181614 52.394421 0.12695313
0.13438761 59.081985 0.13671875
0.15076271 66.019966 0.14648438
0.16865624 73.192192 0.15625
0.18410856 81.215874 0.16601563
0.20118289 88.171211 0.17578125
0.21742663 95.463097 0.18554688
0.23373298 102.14761 0.1953125
0.25012118 108.0811 0.20507813
0.26729038 115.19618 0.21484375
0.28380427 121.33137 0.22460938
0.29996204 128.26651 0.234375
0.31642088 135.32147 0.24414063
0.33334905 140.78252 0.25390625
0.34938723 146.43633 0.26367188
0.36677223 152.32497 0.2734375
0.38303453 158.14476 0.28320313
0.39912885 164.25237 0.29296875
0.41608077 169.99863 0.30273438
0.43259159 175.75778 0.3125
0.44913033 180.12158 0.32226563
0.46541187 185.65237 0.33203125
0.48154107 190.39966 0.34179688
0.49859148 195.88403 0.3515625
0.51518494 200.47604 0.36132813
0.53195995 205.28212 0.37109375
0.54855353 209.3649 0.38085938
0.56527108 213.20485 0.390625
0.58208084 216.40121 0.40039063
0.59877306 220.44316 0.41015625
0.61496639 224.22775 0.41992188
0.63139886 227.9906 0.4296875
0.64817792 231.66858 0.43945313
0.6644944 234.29111 0.44921875
0.68064117 236.36595 0.45898438
0.69780105 238.5547 0.46875
0.71387577 241.70265 0.47851563
0.73102254 244.04236 0.48828125
0.74708891 246.40486 0.49804688
0.76373851 247.72212 0.5078125
0.78106803 248.70544 0.51757813
0.80180663 -64.660233 0.52734375
0.82089174 -15.549511 0.53710938
0.83192855 22.806301 0.546875
0.84950364 7.3230267 0.55664063
0.8662622 -3.9616227 0.56640625
0.88206553 -2.7270615 0.57617188
0.8984834 -2.2308528 0.5859375
0.91521645 0.60260296 0.59570313
0.93230826 1.0222197 0.60546875
0.94874108 -2.0870566 0.61523438
0.96546435 -4.7842412 0.625
0.9826237 -1.4826655 0.63476563
0.9984954 1.6156584 0.64453125
1.0149553 1.5056878 0.65429688
1.0316552 -0.20496547 0.6640625
1.0484726 -0.91999769 0.67382813
1.0649202 -1.5281886 0.68359375
1.0811514 -1.2552738 0.69335938
1.0977538 -0.9470433 0.703125
1.1149156 -0.68232417 0.71289063
1.1310136 -0.38519502 0.72265625
1.1484876 -0.14364719 0.73242188
1.1649165 -0.22210181 0.7421875
1.1810923 0.18462539 0.75195313
1.1977302 -1.0275096 0.76171875
1.2140884 -1.6608834 0.77148438
1.230405  -1.4661252 0.78125
1.2477417 -1.1637807 0.79101563
1.2640245 0.46692789 0.80078125
1.2804718 0.084638596 0.81054688
1.2974288 -0.44055283 0.8203125
1.3138658 -1.2774765 0.83007813
1.330156  -0.86888671 0.83984375
1.3477266 -0.84638596 0.84960938
1.364123  -0.27678907 0.859375
1.3806387 0.36239624 0.86914063
1.3973659 0.019073486 0.87890625
1.4138263 -0.6685406 0.88867188
1.4303899 -0.95382333 0.8984375
1.4469681 -1.2860447 0.90820313
1.4631765 -0.8815527 0.91796875
1.4799454 -0.13619661 0.92773438
1.4966625 0.074878335 0.9375
1.5133253 -0.1771003 0.94726563
1.5297382 -1.0656565 0.95703125
1.546699  -0.94160438 0.96679688
1.5624431 -0.48451126 0.9765625
1.5794064 -0.64969063 0.98632813
1.5961536 0.31754375 0.99609375
1.6126525 -0.10177493 1.0058594
1.6293207 -0.7095933 1.015625

