MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     0.75      s         5/8/2023 9:47:00 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00029001967 -0.35628676 0.020507813
0.0024289999 1.0755658 0.030273438
0.013285032 6.2621384 0.040039063
0.030016404 14.033988 0.049804688
0.048217148 22.103115 0.059570313
0.067311846 29.273928 0.069335938
0.084058419 36.743061 0.079101563
0.10087458 43.668076 0.088867188
0.11792329 51.323101 0.098632813
0.13477248 58.68338 0.10839844
0.15082881 65.457825 0.11816406
0.16666238 72.120872 0.12792969
0.18412252 78.495514 0.13769531
0.20066153 85.544067 0.14746094
0.21789351 92.440697 0.15722656
0.23382907 99.123268 0.16699219
0.25079569 105.9828 0.17675781
0.26714131 112.09391 0.18652344
0.28420463 118.54447 0.19628906
0.30027327 124.49071 0.20605469
0.3163552 130.79933 0.21582031
0.33374411 137.25743 0.22558594
0.35123241 143.32614 0.23535156
0.36684287 149.526  0.24511719
0.38362318 154.64693 0.25488281
0.39990017 160.05971 0.26464844
0.41664883 165.56703 0.27441406
0.43285847 171.04596 0.28417969
0.44977063 176.71384 0.29394531
0.46700132 181.53033 0.30371094
0.48282039 186.44072 0.31347656
0.49943104 190.98125 0.32324219
0.51579589 195.34737 0.33300781
0.53310233 200.05875 0.34277344
0.54868692 204.02216 0.35253906
0.56566066 208.35667 0.36230469
0.58265704 211.65685 0.37207031
0.59941626 214.97108 0.38183594
0.61576658 217.86459 0.39160156
0.63816768 -39.171577 0.40136719
0.65405077 -21.813437 0.41113281
0.66917306 11.098012 0.42089844
0.68494761 5.9493632 0.43066406
0.70089847 -1.5357137 0.44042969
0.71707535 0.28677285 0.45019531
0.73330253 -0.87447464 0.45996094
0.74971253 -0.79266727 0.46972656
0.76664394 2.7558951 0.47949219
0.78376168 -0.15817583 0.48925781
0.79984236 -4.1916223 0.49902344
0.81659627 -1.9030273 0.50878906
0.83331466 0.82708895 0.51855469
0.85014981 0.53927302 0.52832031
0.86669856 0.20772219 0.53808594
0.88299513 0.22359192 0.54785156
0.90006721 -0.28632581 0.55761719
0.91614795 -0.71488321 0.56738281
0.9337126 -0.48823655 0.57714844
0.94978034 -0.45239925 0.58691406
0.96624511 -0.043213367 0.59667969
0.98277467 0.25175512 0.60644531
0.99930745 0.18939376 0.61621094
1.0162697 -0.20757318 0.62597656
1.0325072 -0.84109604 0.63574219
1.0491261 -0.85882843 0.64550781
1.0657266 -0.64246356 0.65527344
1.0818431 -0.47467649 0.66503906
1.0989159 -0.33929944 0.67480469
1.1159052 -0.48771501 0.68457031
1.1327645 -0.56348741 0.69433594
1.1488036 -1.1092424 0.70410156
1.1657044 -1.0183454 0.71386719
1.1820664 -0.6904453 0.72363281
1.1983511 -0.46163797 0.73339844
1.2146609 -0.22873282 0.74316406

