MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     2.75      s         3/30/2023 10:27:51 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.0016757986 -0.057145953 0.01953125
0.0065706205 4.9916654 0.029296875
0.021251373 19.740313 0.0390625
0.037798494 36.615059 0.048828125
0.054131228 51.18996 0.05859375
0.071393102 66.584648 0.068359375
0.08722885 80.777031 0.078125
0.10455047 97.836929 0.087890625
0.12096345 113.63134 0.09765625
0.13653411 128.74611 0.10742188
0.15344663 143.0498 0.1171875
0.16891238 157.80992 0.12695313
0.18630725 172.95346 0.13671875
0.20293988 188.33003 0.14648438
0.2194418 203.08398 0.15625
0.23539044 218.21991 0.16601563
0.25171819 233.53264 0.17578125
0.26894534 249.12134 0.18554688
0.28459868 262.04025 0.1953125
0.30220661 277.59491 0.20507813
0.3180809 292.01135 0.21484375
0.33536237 308.42661 0.22460938
0.3527886 322.59732 0.234375
0.36896095 338.47763 0.24414063
0.38615811 350.80148 0.25390625
0.40063155 364.57889 0.26367188
0.4177745 378.92877 0.2734375
0.4331294 393.45041 0.28320313
0.45054105 409.31256 0.29296875
0.46712077 424.83859 0.30273438
0.4834151 439.60544 0.3125
0.50090379 452.90872 0.32226563
0.51692325 466.93076 0.33203125
0.53366822 482.14828 0.34179688
0.54978418 494.32303 0.3515625
0.56544185 509.09155 0.36132813
0.58323932 524.00134 0.37109375
0.59918612 538.10217 0.38085938
0.61617362 551.80408 0.390625
0.63207483 564.95264 0.40039063
0.64799225 581.17584 0.41015625
0.66653967 594.87292 0.41992188
0.6827932 609.5816  0.4296875
0.69933528 621.54761 0.43945313
0.71462506 634.26709 0.44921875
0.73096532 646.19574 0.45898438
0.74681574 660.25116 0.46875
0.7648887 675.49426 0.47851563
0.78133917 689.07159 0.48828125
0.79807359 702.3067 0.49804688
0.81467754 715.40802 0.5078125
0.8315106 728.68671 0.51757813
0.84795713 742.23126 0.52734375
0.86487889 754.14874 0.53710938
0.88106388 768.21259 0.546875
0.89833272 781.72424 0.55664063
0.91460544 793.90393 0.56640625
0.92993873 805.42291 0.57617188
0.94831318 818.51758 0.5859375
0.96297663 830.83398 0.59570313
0.98057121 843.55255 0.60546875
0.99553186 854.77466 0.61523438
1.0119041 866.70251 0.625
1.0294738 879.13538 0.63476563
1.04653   892.04108 0.64453125
1.0631862 903.83459 0.65429688
1.0786673 915.36493 0.6640625
1.0951465 928.7146  0.67382813
1.1123371 939.85291 0.68359375
1.1287072 951.54474 0.69335938
1.1454875 963.01123 0.703125
1.161484  974.67426 0.71289063
1.1787889 986.9082  0.72265625
1.1943843 998.16901 0.73242188
1.2123758 1010.3732 0.7421875
1.2279311 1020.752  0.75195313
1.2441188 1032.1527 0.76171875
1.2608937 1042.7224 0.77148438
1.2783142 1054.0095 0.78125
1.2931216 1065.6823 0.79101563
1.311618  1076.0848 0.80078125
1.3267714 1085.8579 0.81054688
1.3444537 1097.2671 0.8203125
1.3601407 1107.4635 0.83007813
1.3768212 1115.278  0.83984375
1.3926636 1127.1149 0.84960938
1.4103587 1135.3917 0.859375
1.4269551 1146.787  0.86914063
1.4443865 1157.8324 0.87890625
1.4595605 1164.1229 0.88867188
1.476137  1174.7366 0.8984375
1.4936144 1184.4878 0.90820313
1.5103084 1193.8298 0.91796875
1.5253316 1203.9736 0.92773438
1.5415505 1212.0724 0.9375
1.5588199 1219.4547 0.94726563
1.5751761 1227.834  0.95703125
1.5927769 1236.7175 0.96679688
