MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     4.1103516 s         3/30/2023 10:30:29 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.0011694501 -0.83141029 0.01953125
-0.001217809 -1.4222413 0.029296875
0.0058517326 5.0767512 0.0390625
0.021762215 20.248444 0.048828125
0.037885562 35.705643 0.05859375
0.056291152 53.195877 0.068359375
0.072832942 69.876686 0.078125
0.091465235 85.358322 0.087890625
0.10528779 100.25844 0.09765625
0.12390055 114.91194 0.10742188
0.13875633 130.42174 0.1171875
0.15578522 145.8343 0.12695313
0.1710898 161.59967 0.13671875
0.18842337 176.55797 0.14648438
0.20561695 192.35641 0.15625
0.22070429 206.86746 0.16601563
0.2368307 220.17479 0.17578125
0.25479767 235.12483 0.18554688
0.26988655 250.97375 0.1953125
0.28629762 264.80173 0.20507813
0.30343717 280.10016 0.21484375
0.31954336 294.53552 0.22460938
0.33658308 309.34052 0.234375
0.35425961 325.80502 0.24414063
0.37086329 338.99002 0.25390625
0.38606858 353.96725 0.26367188
0.40195075 367.86115 0.2734375
0.4195182 384.10843 0.28320313
0.43703222 399.63678 0.29296875
0.45282793 413.87695 0.30273438
0.46866733 427.7348 0.3125
0.48484594 442.80161 0.32226563
0.50178838 457.21429 0.33203125
0.5179081 470.44135 0.34179688
0.53495836 483.81659 0.3515625
0.55080843 500.11838 0.36132813
0.56993425 513.54254 0.37109375
0.58448029 528.96893 0.38085938
0.60140854 542.80499 0.390625
0.61916089 557.2442 0.40039063
0.63517064 572.21545 0.41015625
0.65202451 584.49506 0.41992188
0.66738611 597.21832 0.4296875
0.68317527 611.89435 0.43945313
0.69990408 625.73096 0.44921875
0.71702617 640.50427 0.45898438
0.73219156 652.79291 0.46875
0.74741101 664.6109 0.47851563
0.76482052 678.21307 0.48828125
0.78370446 694.44336 0.49804688
0.80084568 707.95813 0.5078125
0.8172065 720.73767 0.51757813
0.83137518 733.75171 0.52734375
0.84900367 746.0506 0.53710938
0.86698109 760.44012 0.546875
0.88355279 773.02209 0.55664063
0.90053976 785.97375 0.56640625
0.91703439 799.27612 0.57617188
0.93341595 812.32831 0.5859375
0.94976729 823.67712 0.59570313
0.96612674 837.19836 0.60546875
0.98135048 848.47064 0.61523438
0.99927634 861.43152 0.625
1.0140624 874.23535 0.63476563
1.0326772 888.1615  0.64453125
1.0486441 899.81824 0.65429688
1.0650263 911.69781 0.6640625
1.0815916 923.71466 0.67382813
1.0960983 934.17822 0.68359375
1.1147727 947.0874  0.69335938
1.1311294 960.18182 0.703125
1.1483935 971.62207 0.71289063
1.1628323 982.2226  0.72265625
1.1801648 993.67181 0.73242188
1.1965023 1005.1287 0.7421875
1.2120912 1015.3177 0.75195313
1.2306145 1029.2371 0.76171875
1.2481012 1041.501  0.77148438
1.2665554 1052.5128 0.78125
1.281875  1063.6107 0.79101563
1.2968714 1072.8762 0.80078125
1.3137647 1083.4448 0.81054688
1.3300133 1094.7139 0.8203125
1.3463022 1105.1655 0.83007813
1.3639706 1117.2655 0.83984375
1.3808773 1126.514  0.84960938
1.3969046 1135.4017 0.859375
1.4141829 1147.0786 0.86914063
1.4309187 1155.6586 0.87890625
1.4454212 1165.8043 0.88867188
1.4626471 1175.6189 0.8984375
1.4791846 1185.7622 0.90820313
1.4967164 1194.8433 0.91796875
1.5139546 1203.9323 0.92773438
1.5290977 1214.048  0.9375
1.5435342 1220.0656 0.94726563
1.5597388 1229.4855 0.95703125
