MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     0.95800781 s        5/8/2023 9:57:04 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00070842216 -0.28893352 0.020507813
-0.00026128255 -0.65684319 0.030273438
0.00083399937 -0.083222985 0.040039063
0.011088257 7.294342 0.049804688
0.026888795 19.239708 0.059570313
0.044241488 31.656101 0.069335938
0.060539529 43.528526 0.079101563
0.078494512 55.098682 0.088867188
0.094190389 66.768227 0.098632813
0.11224273 78.706665 0.10839844
0.12766071 90.645401 0.11816406
0.14470197 102.27979 0.12792969
0.16153793 113.78169 0.13769531
0.17806773 125.02812 0.14746094
0.19448422 136.16986 0.15722656
0.21157522 147.49884 0.16699219
0.22744349 159.10619 0.17675781
0.24437591 170.65033 0.18652344
0.26034459 182.17609 0.19628906
0.27737087 193.09901 0.20605469
0.29365641 203.77077 0.21582031
0.31043032 214.99179 0.22558594
0.32660779 226.27621 0.23535156
0.34421381 237.84361 0.24511719
0.36083078 249.13377 0.25488281
0.37721634 259.97937 0.26464844
0.39268339 270.56039 0.27441406
0.41056448 281.1337 0.28417969
0.42656681 291.99875 0.29394531
0.44348985 302.92178 0.30371094
0.45948467 313.97754 0.31347656
0.47608984 324.56158 0.32324219
0.49203315 335.09637 0.33300781
0.50919431 345.51605 0.34277344
0.52567768 355.78781 0.35253906
0.54229581 366.37933 0.36230469
0.55886823 376.99408 0.37207031
0.5756712 387.19858 0.38183594
0.59219885 397.37219 0.39160156
0.60843778 407.10745 0.40136719
0.62447333 417.05505 0.41113281
0.64107841 427.22479 0.42089844
0.65754223 437.46155 0.43066406
0.67523849 447.56186 0.44042969
0.69099432 457.40591 0.45019531
0.70766425 467.02982 0.45996094
0.72426498 476.67041 0.46972656
0.74122709 486.24042 0.47949219
0.75735998 495.72733 0.48925781
0.77411228 505.242  0.49902344
0.79067087 514.71356 0.50878906
0.80717736 523.81781 0.51855469
0.82342058 532.56818 0.52832031
0.83978242 541.56848 0.53808594
0.85677153 550.49329 0.54785156
0.87295389 559.74506 0.55761719
0.89004439 568.43964 0.56738281
0.90612704 577.1994 0.57714844
0.92312342 585.3111 0.58691406
0.95049095 -57.586281 0.59667969
0.96576399 25.761425 0.60644531
0.97751105 15.330315 0.61621094
0.99470347 -3.3334641 0.62597656
1.0100894 2.3427606 0.63574219
1.0275638 -5.3194909 0.64550781
1.0440289 -0.59194863 0.65527344
1.0605773 3.9739161 0.66503906
1.0783446 -6.3356013 0.67480469
1.0937651 -10.817647 0.68457031
1.1103095 -3.0729918 0.69433594
1.1272072 1.1319667 0.70410156
1.1435887 -1.2154877 0.71386719
1.1602452 -2.458766 0.72363281
1.1766986 -3.8511305 0.73339844
1.1935589 -5.3542852 0.74316406
1.2097312 -4.8763304 0.75292969
1.2266963 -4.0585546 0.76269531
1.2436666 -4.0747223 0.77246094
1.2602578 -3.4760685 0.78222656
1.2765918 -3.0361862 0.79199219
1.2931401 -3.5837293 0.80175781
1.3093389 -4.1726232 0.81152344
1.326468  -4.1519108 0.82128906
1.3423239 -4.0454416 0.83105469
1.3588202 -3.5763531 0.84082031
1.3761276 -3.6344676 0.85058594
1.3929238 -3.1057   0.86035156
1.4091147 -3.0916185 0.87011719
1.4257153 -3.3321233 0.87988281
1.4419916 -3.6635251 0.88964844
1.459337  -4.0224938 0.89941406
1.4759822 -3.9534271 0.90917969
1.4924364 -3.6247821 0.91894531
1.5083145 -3.5320222 0.92871094
1.5253104 -3.400445 0.93847656
1.5415387 -3.5226345 0.94824219

