MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.1582031 s         5/8/2023 10:00:16 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00036922866 0.074580312 0.020507813
-6.8463851e-05 -0.36709011 0.030273438
-0.00022379681 -0.31135976 0.040039063
0.00086560613 0.24482608 0.049804688
0.0087751187 4.4474006 0.059570313
0.025574613 11.555105 0.069335938
0.04162797 19.4972  0.079101563
0.059819575 27.1637 0.088867188
0.076320969 34.592823 0.098632813
0.092825487 42.314304 0.10839844
0.10942587 50.069691 0.11816406
0.12550478 57.762562 0.12792969
0.14198004 65.146164 0.13769531
0.15908492 72.367935 0.14746094
0.17580922 79.66317 0.15722656
0.19225113 87.128654 0.16699219
0.20958912 94.957649 0.17675781
0.22573516 102.30735 0.18652344
0.24177431 109.34539 0.19628906
0.25896436 116.41942 0.20605469
0.27476931 123.28401 0.21582031
0.29130128 130.57574 0.22558594
0.30866188 137.87828 0.23535156
0.3251496 145.41716 0.24511719
0.34153754 152.63274 0.25488281
0.35866413 159.3154 0.26464844
0.37472647 166.44553 0.27441406
0.39127192 173.22011 0.28417969
0.40842092 180.39815 0.29394531
0.4247376 187.81432 0.30371094
0.44145697 194.8493 0.31347656
0.45864701 201.82513 0.32324219
0.47506669 208.08778 0.33300781
0.49059707 214.82594 0.34277344
0.50764573 221.73613 0.35253906
0.52444023 228.49306 0.36230469
0.54014224 235.56366 0.37207031
0.55713242 241.88132 0.38183594
0.57359707 248.23979 0.39160156
0.59030688 254.63974 0.40136719
0.60714531 261.39334 0.41113281
0.62438214 268.1467 0.42089844
0.64070547 274.63525 0.43066406
0.65712804 281.12436 0.44042969
0.67386162 287.22971 0.45019531
0.68988472 293.31564 0.45996094
0.70657498 299.19064 0.46972656
0.72340751 305.45325 0.47949219
0.73988521 311.83942 0.48925781
0.75645083 317.77765 0.49902344
0.77336484 323.56705 0.50878906
0.78933328 329.17624 0.51855469
0.80635583 334.31418 0.52832031
0.82308936 340.02527 0.53808594
0.83941138 345.92331 0.54785156
0.85595566 351.62561 0.55761719
0.87756389 49.2505  0.56738281
0.89723617 -33.071487 0.57714844
0.90947604 -13.984144 0.58691406
0.92407352 4.2673202 0.59667969
0.94131452 -2.4635344 0.60644531
0.95775425 0.57190657 0.61621094
0.97458833 0.10535121 0.62597656
0.9912433 -4.4229627 0.63574219
1.0083725 1.2363493 0.64550781
1.0244266 4.9646945 0.65527344
1.040554  -0.7262826 0.66503906
1.0577325 -4.0964036 0.67480469
1.0744855 -1.8905848 0.68457031
1.0905898 -0.026747584 0.69433594
1.1069036 0.31106174 0.70410156
1.1244311 0.71845949 0.71386719
1.140664  0.75742602 0.72363281
1.1573982 -0.045150518 0.73339844
1.1736987 -0.30562282 0.74316406
1.1903727 -0.35651028 0.75292969
1.2066582 -0.68366528 0.76269531
1.2239456 -0.61683357 0.77246094
1.2395238 -0.27470291 0.78222656
1.257066  -0.033825636 0.79199219
1.2740185 -0.29481947 0.80175781
1.2902356 -0.37625432 0.81152344
1.3072891 -0.41030347 0.82128906
1.3232499 -0.63598156 0.83105469
1.3401458 -0.80451369 0.84082031
1.356853  -0.58598816 0.85058594
1.373203  -0.55126846 0.86035156
1.3896548 -0.16354024 0.87011719
1.4066542 -0.24050474 0.87988281
1.423071  -0.41842461 0.88964844
1.4400643 -0.70437789 0.89941406
1.4562891 -0.7147342 0.90917969
1.4726286 -0.58710575 0.91894531
1.4898854 -0.50678849 0.92871094
1.5066707 -0.29221177 0.93847656
1.5228165 -0.41730702 0.94824219
1.5392406 -0.44889748 0.95800781
1.5557233 -0.62406063 0.96777344
1.5720013 -0.91761351 0.97753906
1.5893788 -0.42580068 0.98730469
1.6056668 -0.20496547 0.99707031
1.6222129 -0.22083521 1.0068359
1.6390916 -0.44070184 1.0166016
1.6556823 -0.77009201 1.0263672
1.6721627 -0.78007579 1.0361328
1.6886545 -0.5722791 1.0458984
1.7054635 -0.44971704 1.0556641
1.7219154 -0.37319958 1.0654297
1.7382327 -0.51498413 1.0751953
1.7550211 -0.77068806 1.0849609
1.7712686 -0.75623393 1.0947266
1.7886333 -0.84988773 1.1044922
1.8048922 -0.45306981 1.1142578
1.8213326 -0.13299286 1.1240234
1.8383354 -0.22001565 1.1337891
1.85428   -0.39339066 1.1435547
1.871453  -0.73991716 1.1533203

