MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     2.4931641 s         3/30/2023 1:12:51 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
1.329463e-05 0.13649464 0.020507813
0.0034239143 1.9279867 0.030273438
0.016352663 9.9328156 0.040039063
0.032430515 21.0163 0.049804688
0.049126849 31.849817 0.059570313
0.066024393 42.607861 0.069335938
0.083332509 53.062439 0.079101563
0.099802993 63.103737 0.088867188
0.11645639 74.121803 0.098632813
0.13314249 84.245804 0.10839844
0.14976959 95.18512 0.11816406
0.16692789 105.88646 0.12792969
0.18248741 115.93275 0.13769531
0.19891725 126.22714 0.14746094
0.21620782 136.57123 0.15722656
0.23247352 146.7719 0.16699219
0.24969181 157.1545 0.17675781
0.26539737 167.63397 0.18652344
0.28280121 177.92694 0.19628906
0.29898217 187.84009 0.20605469
0.31553522 197.06429 0.21582031
0.33252802 207.65088 0.22558594
0.34887177 218.18631 0.23535156
0.36487871 228.45723 0.24511719
0.38159364 238.70125 0.25488281
0.3984794 247.89647 0.26464844
0.41414016 257.57617 0.27441406
0.43129003 267.5423 0.28417969
0.44835749 277.75787 0.29394531
0.46437812 287.95346 0.30371094
0.48054102 297.63962 0.31347656
0.49738413 307.05707 0.32324219
0.51416171 316.71198 0.33300781
0.52971423 326.14941 0.34277344
0.54711276 335.53751 0.35253906
0.56362289 345.6886 0.36230469
0.58023226 355.66724 0.37207031
0.59629977 365.12695 0.38183594
0.61333048 374.03308 0.39160156
0.62886292 383.67636 0.40136719
0.64650679 393.08951 0.41113281
0.6625824 402.44638 0.42089844
0.67925352 412.62961 0.43066406
0.69653279 421.88629 0.44042969
0.71249932 431.20081 0.45019531
0.72913748 439.77661 0.45996094
0.74519104 448.89133 0.46972656
0.76139325 457.74423 0.47949219
0.77834082 467.46777 0.48925781
0.79504603 476.77655 0.49902344
0.81145096 485.26004 0.50878906
0.82816863 494.06424 0.51855469
0.8444041 502.82974 0.52832031
0.86165273 511.43295 0.53808594
0.87847823 520.83844 0.54785156
0.89457065 530.23694 0.55761719
0.91155636 539.09186 0.56738281
0.92768288 546.96228 0.57714844
0.94444108 554.88104 0.58691406
0.96096426 563.37531 0.59667969
0.97659492 572.21503 0.60644531
0.9941017 581.56665 0.61621094
1.0101557 589.74561 0.62597656
1.0273632 597.85815 0.63574219
1.0430989 605.88177 0.64550781
1.0601808 613.52814 0.65527344
1.0769161 622.08386 0.66503906
1.093289  630.35675 0.67480469
1.1102492 638.47015 0.68457031
1.1266067 646.61255 0.69433594
1.1424994 653.80011 0.70410156
1.1588817 661.41119 0.71386719
1.1761048 668.7572  0.72363281
1.1920785 676.77374 0.73339844
1.208997  684.79266 0.74316406
1.2259357 693.03394 0.75292969
1.2421172 700.05115 0.76269531
1.2584199 707.08923 0.77246094
1.2753029 713.96716 0.78222656
1.2921816 721.41638 0.79199219
1.30828   729.09766 0.80175781
1.325417  736.19714 0.81152344
1.3413203 743.02466 0.82128906
1.3583791 749.24982 0.83105469
1.3746341 755.68695 0.84082031
1.3915626 762.56329 0.85058594
1.406836  769.47546 0.86035156
1.4240309 776.10016 0.87011719
1.4414226 782.37103 0.87988281
1.4574864 789.17023 0.88964844
1.4735826 794.87274 0.89941406
1.4909831 800.92297 0.90917969
1.5073148 807.23199 0.91894531
1.5233955 813.38812 0.92871094
1.5405338 818.78467 0.93847656
1.5569481 824.59363 0.94824219
1.5735283 829.48212 0.95800781
1.5901312 834.92084 0.96777344
