MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     2.09375   s         3/30/2023 1:14:39 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00081640901 -0.08828938 0.020507813
0.0037886319 2.4361908 0.030273438
0.016528787 10.220632 0.040039063
0.033538438 21.639317 0.049804688
0.051366072 32.524914 0.059570313
0.069156148 42.720882 0.069335938
0.085179016 53.709148 0.079101563
0.10117963 64.175354 0.088867188
0.11853569 74.838326 0.098632813
0.13521066 85.033104 0.10839844
0.15089366 95.106216 0.11816406
0.16743354 105.05587 0.12792969
0.18406758 115.54234 0.13769531
0.2002942 125.60755 0.14746094
0.21740189 136.69461 0.15722656
0.23458214 146.93491 0.16699219
0.25058937 156.4373 0.17675781
0.26729283 166.81001 0.18652344
0.2832239 176.18849 0.19628906
0.29981416 186.53653 0.20605469
0.3165338 197.11241 0.21582031
0.33301675 207.56923 0.22558594
0.34938705 217.16281 0.23535156
0.36534393 226.8961 0.24511719
0.3825022 236.32967 0.25488281
0.3991982 245.90842 0.26464844
0.41566831 256.53207 0.27441406
0.43211722 266.45624 0.28417969
0.44785061 276.65451 0.29394531
0.46530423 286.28528 0.30371094
0.48176745 295.28683 0.31347656
0.49802655 304.81989 0.32324219
0.5144031 315.04123 0.33300781
0.53174955 325.29169 0.34277344
0.54816252 334.70273 0.35253906
0.56463885 344.16293 0.36230469
0.58030164 352.95819 0.37207031
0.59793359 362.32294 0.38183594
0.61352026 371.82004 0.39160156
0.63100344 381.86096 0.40136719
0.64672601 391.53046 0.41113281
0.66366363 400.53464 0.42089844
0.67974806 409.49271 0.43066406
0.69729239 418.73068 0.44042969
0.71306211 427.8403 0.45019531
0.72970772 436.99817 0.45996094
0.74550265 446.79437 0.46972656
0.76309115 455.41193 0.47949219
0.77900815 464.6239 0.48925781
0.79591161 473.16397 0.49902344
0.81268775 482.00696 0.50878906
0.82912612 490.67038 0.51855469
0.84600931 500.24872 0.52832031
0.86154157 509.22919 0.53808594
0.87850475 517.95886 0.54785156
0.89537275 526.3432 0.55761719
0.91160738 534.3858 0.56738281
0.92777795 543.19098 0.57714844
0.94495445 551.8924 0.58691406
0.96146214 560.68079 0.59667969
0.97813576 568.63513 0.60644531
0.99417919 576.46002 0.61621094
1.0102404 584.98242 0.62597656
1.0272313 593.21069 0.63574219
1.0441648 601.93524 0.64550781
1.0612015 610.49066 0.65527344
1.0782546 618.65057 0.66503906
1.0941705 625.62598 0.67480469
1.1105281 633.52301 0.68457031
1.127429  641.28296 0.69433594
1.1445956 649.36243 0.70410156
1.1612124 658.0285  0.71386719
1.1786944 665.99908 0.72363281
1.1940672 673.4541  0.73339844
1.2107822 680.47247 0.74316406
1.2277256 687.76306 0.75292969
1.2441266 694.73639 0.76269531
1.2607151 702.13007 0.77246094
1.2772139 709.88306 0.78222656
1.2934932 716.18091 0.79199219
1.3103775 723.47583 0.80175781
1.326941  730.16052 0.81152344
1.3435191 736.50189 0.82128906
1.359682  743.48291 0.83105469
1.3767401 750.6156  0.84082031
1.3935134 757.28711 0.85058594
1.4100406 763.89502 0.86035156
1.4268997 769.64703 0.87011719
1.4434706 775.89941 0.87988281
1.459875  782.01654 0.88964844
1.4760684 788.05231 0.89941406
1.4918704 794.43622 0.90917969
1.5092462 800.02618 0.91894531
1.5248271 805.52557 0.92871094
1.541702  810.9483  0.93847656
1.5588466 816.04773 0.94824219
1.5756782 822.18536 0.95800781
1.5913814 827.34961 0.96777344
