MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.40625   s         5/23/2023 3:41:09 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.0013275188 0.4722178 0.01953125
0.0013201439 -1.1604279 0.029296875
0.001748791 -0.5017221 0.0390625
0.0013088051 -0.88617206 0.048828125
0.0034569122 1.7877668 0.05859375
0.014408771 8.8483839 0.068359375
0.031154312 14.377609 0.078125
0.046822101 21.407381 0.087890625
0.062032439 27.901606 0.09765625
0.079732798 34.810455 0.10742188
0.096292503 43.30024 0.1171875
0.11355473 50.956905 0.12695313
0.12940402 58.167427 0.13671875
0.14633407 64.946564 0.14648438
0.1639387 73.001534 0.15625
0.18076783 79.038445 0.16601563
0.19537626 87.920952 0.17578125
0.21337956 96.537842 0.18554688
0.23002341 103.31795 0.1953125
0.24775794 110.30599 0.20507813
0.26246819 115.88484 0.21484375
0.27962363 122.85381 0.22460938
0.2959547 131.41647 0.234375
0.31292003 138.41234 0.24414063
0.32831809 146.54413 0.25390625
0.34573174 152.09772 0.26367188
0.36223331 159.82024 0.2734375
0.37948132 166.24174 0.28320313
0.395533  173.7155  0.29296875
0.4125191 180.23468 0.30273438
0.4288947 188.47838 0.3125
0.44535041 195.01903 0.32226563
0.46103096 201.23027 0.33203125
0.47766134 208.22398 0.34179688
0.49589512 214.43344 0.3515625
0.51195467 222.65657 0.36132813
0.52947164 230.23851 0.37109375
0.54566026 236.80977 0.38085938
0.56129593 242.77612 0.390625
0.579014  248.28941 0.40039063
0.59584755 254.93181 0.41015625
0.61233574 261.52127 0.41992188
0.62809247 269.18655 0.4296875
0.6437335 276.13626 0.43945313
0.66038811 281.4451 0.44921875
0.67813075 288.56195 0.45898438
0.69500387 294.2673 0.46875
0.71170878 300.28577 0.47851563
0.72638756 307.30807 0.48828125
0.74472159 314.0354 0.49804688
0.76145184 320.93213 0.5078125
0.77761215 326.90881 0.51757813
0.79364008 331.89243 0.52734375
0.81140661 335.42847 0.53710938
0.82656991 345.05255 0.546875
0.84520245 350.30121 0.55664063
0.85904723 355.61874 0.56640625
0.87587661 362.0509 0.57617188
0.89388871 366.1925 0.5859375
0.9099369 372.89871 0.59570313
0.92692524 379.5051 0.60546875
0.9442147 384.50781 0.61523438
0.95913875 390.07611 0.625
0.97709197 396.24927 0.63476563
1.0062566 -52.488892 0.64453125
1.0109653 12.096614 0.65429688
1.0289024 4.4567881 0.6640625
1.0453095 2.8264523 0.67382813
1.0590572 2.7239323 0.68359375
1.0769691 -1.931414 0.69335938
1.0940361 0.28535724 0.703125
1.111586  2.9095263 0.71289063
1.1278147 -2.5057793 0.72265625
1.1446478 -5.0508232 0.73242188
1.1626686 -2.6731193 0.7421875
1.1779736 0.04760921 0.75195313
1.1952351 2.0837784 0.76171875
1.2097633 1.5825778 0.77148438
1.2273796 0.31970441 0.78125
1.2441537 -1.2952834 0.79101563
1.2608958 -0.74565411 0.80078125
1.2770264 0.20027161 0.81054688
1.2949817 0.93013048 0.8203125
1.3118067 0.41380525 0.83007813
1.3274561 -0.44241548 0.83984375
1.3435005 -0.69402158 0.84960938
1.3605956 -1.4010817 0.859375
1.3784486 -0.69119036 0.86914063
1.3943889 0.33468008 0.87890625
1.4103687 -0.58472157 0.88867188
1.42722   -1.1832267 0.8984375
1.4431654 -0.87752938 0.90820313
1.4601661 -1.5880167 0.91796875
1.4759685 -0.61839819 0.92773438
1.4940201 -0.80309808 0.9375
1.5105345 -1.5156716 0.94726563
1.5272408 -0.98697841 0.95703125
1.5425955 -0.73470175 0.96679688
1.5600477 -0.94011426 0.9765625
1.5772533 -0.32126904 0.98632813
1.5924792 -1.0618567 0.99609375
1.6088656 0.054389238 1.0058594
1.6256624 0.16599894 1.015625
1.64184   -1.8724799 1.0253906
1.6593912 -2.9490142 1.0351563
1.6748933 0.82977116 1.0449219
1.6924332 -1.7091632 1.0546875
1.7095736 -0.30212104 1.0644531
1.7245234 0.47631562 1.0742188
1.7417816 -1.23851  1.0839844
1.757095  0.23566186 1.09375
1.7753017 -1.35988  1.1035156
1.792183  -1.4679134 1.1132813
1.8077773 0.68455935 1.1230469
1.8254231 -0.17337501 1.1328125
1.8412426 -1.1498481 1.1425781
1.8581023 -2.099946 1.1523438
1.8746632 -2.4025888 1.1621094
1.8899131 -0.70407987 1.171875
1.9063765 -2.4567544 1.1816406
1.9225215 -1.9545108 1.1914063
1.9419416 -1.058206 1.2011719
1.956924  -2.2233276 1.2109375
1.9738778 -1.9814074 1.2207031
1.9918735 -2.6973338 1.2304688
2.0079198 -0.0082701445 1.2402344
2.0225194 0.89719892 1.25
2.039701  -0.49032271 1.2597656
2.0558341 -0.14767051 1.2695313
2.0749319 -0.4298985 1.2792969
2.0907402 -0.88863075 1.2890625
2.106391  -0.80063939 1.2988281
2.1232042 -0.43414533 1.3085938
2.1391966 0.43027103 1.3183594
2.1558897 0.11354685 1.328125
2.1736946 -2.3090839 1.3378906
2.1904752 -1.0578334 1.3476563
2.2062106 -1.5341491 1.3574219
2.2218516 -1.0903925 1.3671875
2.2392962 -0.66056848 1.3769531
2.2559531 -1.6514957 1.3867188
2.2732422 -0.12993813 1.3964844

