MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     0.96582031 s        4/25/2023 2:41:42 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
4.5518391e-05 0.42699277 0.01953125
-0.00010643853 0.5838275 0.029296875
0.00077059958 1.5610456 0.0390625
0.00080922619 2.6735663 0.048828125
0.012982613 7.1324406 0.05859375
0.028785434 12.484342 0.068359375
0.04524295 19.305944 0.078125
0.062330987 26.556253 0.087890625
0.078186378 33.281372 0.09765625
0.095512055 40.624367 0.10742188
0.1118427 47.728867 0.1171875
0.12898141 54.352879 0.12695313
0.14495778 60.610325 0.13671875
0.16151242 66.860916 0.14648438
0.17772798 73.022469 0.15625
0.19460338 80.637711 0.16601563
0.21099168 87.448654 0.17578125
0.22723171 94.161926 0.18554688
0.24307704 99.91333 0.1953125
0.26064104 105.93958 0.20507813
0.2769452 112.43217 0.21484375
0.29391009 119.06855 0.22460938
0.31039435 126.11359 0.234375
0.32675353 131.82968 0.24414063
0.34415582 138.21744 0.25390625
0.36073497 143.67931 0.26367188
0.37695354 149.31149 0.2734375
0.39234418 155.69739 0.28320313
0.41592419 -16.664639 0.29296875
0.42794392 20.092279 0.30273438
0.44480613 8.3480034 0.3125
0.46119997 -4.0072947 0.32226563
0.47796983 -3.5105646 0.33203125
0.49500614 -1.6961992 0.34179688
0.51121598 0.48398972 0.3515625
0.52733028 0.99815428 0.36132813
0.54374552 -1.2199581 0.37109375
0.56107503 -3.1334162 0.38085938
0.57724994 -2.6190281 0.390625
0.59341067 0.44420362 0.40039063
0.61082041 0.60155988 0.41015625
0.62729597 -0.73075294 0.41992188
0.6435864 -0.87812543 0.4296875
0.66060865 -1.520887 0.43945313
0.67678356 -1.8559396 0.44921875
0.69369912 -1.5301257 0.45898438
0.71047592 -0.91001391 0.46875
0.72665328 -0.11302531 0.47851563
0.74340761 -0.023394823 0.48828125
0.75966871 -0.29586256 0.49804688
0.77579379 -1.1078268 0.5078125
0.7928735 -1.9881874 0.51757813
0.80912352 -1.1156499 0.52734375
0.82675737 -0.57019293 0.53710938
0.84235245 0.10177493 0.546875
0.85903513 -0.16607344 0.55664063
0.87636739 -0.86285174 0.56640625
0.89295638 -1.5157461 0.57617188
0.90963584 -1.725778 0.5859375
0.92611617 -1.642853 0.59570313
0.94264132 -0.41790307 0.60546875
0.95923251 -0.89243054 0.61523438
0.97525215 -0.64902008 0.625
0.99240506 -0.83841383 0.63476563
1.009582  -1.7353892 0.64453125
1.0255989 -1.1050701 0.65429688
1.0427684 -1.0989606 0.6640625
1.0599849 -0.73902309 0.67382813
1.0751047 -0.46566129 0.68359375
1.0919827 -0.65073371 0.69335938
1.1087277 -1.482442 0.703125
1.1242875 -1.1200458 0.71289063
1.1415757 -0.82589686 0.72265625
1.1587704 -1.1842698 0.73242188
1.175133  0.1462549 0.7421875
1.1914668 -0.66898763 0.75195313
1.2083766 -1.9322336 0.76171875
1.224111  -1.7672032 0.77148438
1.2410116 -1.2654066 0.78125
1.2579998 -1.4775991 0.79101563
1.2744631 -1.0921061 0.80078125
1.2904837 -0.99562109 0.81054688
1.3079592 -1.149103 0.8203125
1.3245113 -1.2858212 0.83007813
1.3404694 -1.5214086 0.83984375
1.3576984 -0.77433884 0.84960938
1.3741505 -0.26248395 0.859375
1.3901625 -0.5171448 0.86914063
1.4075081 -0.34108758 0.87890625
1.423687  -1.1108071 0.88867188
1.4411896 -1.5766919 0.8984375
1.4569831 -1.5449524 0.90820313
1.4733846 -0.23208559 0.91796875
1.4899005 -0.46677887 0.92773438
1.5069627 -0.94614923 0.9375
1.523138  -1.0585785 0.94726563
1.5402198 -1.5857816 0.95703125

