MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.6220703 s         5/23/2023 3:39:10 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00022431486 1.0667741 0.01953125
-0.00076649012 1.1172146 0.029296875
0.0099268742 6.2140822 0.0390625
0.025686959 13.711974 0.048828125
0.043559685 20.346642 0.05859375
0.059027191 27.686878 0.068359375
0.07619264 33.478291 0.078125
0.092244089 41.652695 0.087890625
0.10945812 50.266163 0.09765625
0.1267238 55.57634  0.10742188
0.14274091 65.535454 0.1171875
0.16132453 70.195869 0.12695313
0.17619936 77.216026 0.13671875
0.19208892 84.570496 0.14648438
0.20909083 92.436821 0.15625
0.22575483 98.921509 0.16601563
0.24161586 105.50924 0.17578125
0.25784838 112.72304 0.18554688
0.27510503 120.30281 0.1953125
0.29223379 126.99284 0.20507813
0.30895594 134.59541 0.21484375
0.32628965 141.50798 0.22460938
0.34229612 149.15898 0.234375
0.3594293 156.6407  0.24414063
0.37647247 161.35924 0.25390625
0.39185622 168.39772 0.26367188
0.40898383 175.13901 0.2734375
0.42524633 181.11699 0.28320313
0.44020212 188.23438 0.29296875
0.45680687 195.35646 0.30273438
0.47557482 200.72214 0.3125
0.4913367 208.48587 0.32226563
0.50830519 214.0601 0.33203125
0.52397251 220.64105 0.34179688
0.54158974 228.24205 0.3515625
0.55728811 234.24045 0.36132813
0.57295191 241.6385 0.37109375
0.59118414 248.28076 0.38085938
0.60773677 252.62923 0.390625
0.62419569 259.22745 0.40039063
0.64039338 266.32236 0.41015625
0.65767354 273.20428 0.41992188
0.67489022 280.96259 0.4296875
0.6904372 285.00647 0.43945313
0.70621437 290.6167 0.44921875
0.72299689 295.21472 0.45898438
0.73993886 303.42007 0.46875
0.75536776 310.38379 0.47851563
0.77372849 316.2518 0.48828125
0.78915668 319.74756 0.49804688
0.80580688 324.44321 0.5078125
0.82116622 330.71429 0.51757813
0.83786505 336.57782 0.52734375
0.8540259 342.94427 0.53710938
0.87057132 349.79761 0.546875
0.88835698 356.56488 0.55664063
0.90645659 359.26575 0.56640625
0.9217881 365.35532 0.57617188
0.93801492 371.00064 0.5859375
0.95534748 376.4187 0.59570313
0.97146952 382.46368 0.60546875
0.98660928 387.70432 0.61523438
1.0029968 391.58728 0.625
1.0212569 396.71954 0.63476563
1.038581  402.04501 0.64453125
1.0548736 407.47864 0.65429688
1.0694214 411.1752  0.6640625
1.0867051 415.72925 0.67382813
1.1021115 421.53455 0.68359375
1.1194475 426.17813 0.69335938
1.135523  430.23999 0.703125
1.1531898 433.88687 0.71289063
1.1689432 438.70242 0.72265625
1.1854864 444.24023 0.73242188
1.2029759 448.61032 0.7421875
1.2201207 452.50919 0.75195313
1.2350981 453.64633 0.76171875
1.2519885 456.64154 0.77148438
1.2696593 458.99866 0.78125
1.2854562 463.7836  0.79101563
1.3086432 65.957756 0.80078125
1.3253136 3.3391266 0.81054688
1.3407359 -6.5974145 0.8203125
1.3555211 1.1637807 0.83007813
1.3733039 -2.1616368 0.83984375
1.3902251 0.94942749 0.84960938
1.4067513 4.3900309 0.859375
1.4231954 1.4229119 0.86914063
1.4403883 0.18320978 0.87890625
1.4562261 1.0939687 0.88867188
1.472571  4.9684944 0.8984375
1.4895864 1.7600507 0.90820313
1.5062621 2.669096  0.91796875
1.5224353 0.26270747 0.92773438
1.5400273 0.13269484 0.9375
1.5561334 -0.29273331 0.94726563
1.5734386 0.5222857 0.95703125
1.5896057 2.8955936 0.96679688
