MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.7587891 s         3/30/2023 9:59:05 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00030737719 0.10706484 0.020507813
0.0042509465 7.0267916 0.030273438
0.01821306 21.738485 0.040039063
0.035469804 44.319107 0.049804688
0.052339584 65.332726 0.059570313
0.069342703 86.343735 0.069335938
0.085651331 104.92273 0.079101563
0.10225245 123.98019 0.088867188
0.11790803 143.3152 0.098632813
0.13440169 163.22754 0.10839844
0.15227032 184.82529 0.11816406
0.16772245 202.77806 0.12792969
0.18507865 224.03307 0.13769531
0.20101035 242.15303 0.14746094
0.21871959 261.17593 0.15722656
0.2358751 279.48047 0.16699219
0.25148129 299.25406 0.17675781
0.26733151 318.16513 0.18652344
0.28630149 337.45074 0.19628906
0.29957011 353.70215 0.20605469
0.31604755 373.60437 0.21582031
0.33268386 391.76141 0.22558594
0.34906232 410.92032 0.23535156
0.36729169 432.74911 0.24511719
0.38562599 452.7933 0.25488281
0.40063584 470.591  0.26464844
0.41758621 489.47388 0.27441406
0.43276349 504.38052 0.28417969
0.44924301 524.26282 0.29394531
0.46647686 542.93829 0.30371094
0.48341623 562.17993 0.31347656
0.49793348 578.63611 0.32324219
0.51422471 596.64026 0.33300781
0.53170341 615.18158 0.34277344
0.54875231 633.43414 0.35253906
0.56396317 651.12958 0.36230469
0.58231676 670.91394 0.37207031
0.59688592 685.3092 0.38183594
0.61362213 704.27234 0.39160156
0.63090765 720.94904 0.40136719
0.64469761 736.48053 0.41113281
0.66465634 755.68457 0.42089844
0.68218219 775.50977 0.43066406
0.69745243 791.34851 0.44042969
0.71280414 808.32135 0.45019531
0.72878104 824.28644 0.45996094
0.74727935 841.19153 0.46972656
0.7648713 859.82111 0.47949219
0.78025097 875.41089 0.48925781
0.79617351 892.97357 0.49902344
0.81370372 909.45667 0.50878906
0.83051205 927.36987 0.51855469
0.84716839 941.98492 0.52832031
0.86328453 957.85498 0.53808594
0.87842363 973.4425 0.54785156
0.89536452 989.53888 0.55761719
0.91202271 1005.7423 0.56738281
0.92937815 1021.2573 0.57714844
0.9450689 1036.7827 0.58691406
0.96217942 1050.8518 0.59667969
0.97749645 1066.4275 0.60644531
0.99560744 1081.905 0.61621094
1.0106533 1097.0126 0.62597656
1.0272633 1111.4253 0.63574219
1.0442694 1126.1149 0.64550781
1.0610374 1138.0531 0.65527344
1.0767787 1151.012  0.66503906
1.0942266 1165.2068 0.67480469
1.1112889 1180.4647 0.68457031
1.127324  1192.5186 0.69433594
1.1447339 1203.8723 0.70410156
1.1594362 1214.4982 0.71386719
1.1769302 1225.0347 0.72363281
1.1929295 1237.0614 0.73339844
1.2098774 1248.553  0.74316406
1.2259524 1259.0256 0.75292969
1.2432189 1270.703  0.76269531
1.2596623 1277.2661 0.77246094
1.2784071 1285.0769 0.78222656
1.2939056 1291.4977 0.79199219
1.3101155 1297.7708 0.80175781
1.3244077 1302.2125 0.81152344
1.3411012 1304.1067 0.82128906
1.3590649 1309.7543 0.83105469
1.377543  1309.403  0.84082031
1.3922622 1309.7842 0.85058594
1.4107465 1307.3289 0.86035156
1.424762  1303.3026 0.87011719
1.4412053 1300.6481 0.87988281
1.4600664 1296.215  0.88964844
1.4763154 1292.2483 0.89941406
1.4933418 1285.5472 0.90917969
1.5092461 1279.4695 0.91894531
1.5266007 1271.3898 0.92871094
1.542859  1265.4467 0.93847656
1.5596281 1258.743  0.94824219
