MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.1660156 s         4/25/2023 2:25:21 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00064593041 -0.15482306 0.01953125
-0.00055874698 0.50902367 0.029296875
-0.00037659192 0.71935356 0.0390625
9.0117101e-05 1.9113719 0.048828125
0.010417484 9.0539455 0.05859375
0.026934013 20.009354 0.068359375
0.042880081 31.001196 0.078125
0.060890242 41.47224 0.087890625
0.076875009 53.877457 0.09765625
0.093673214 65.815895 0.10742188
0.11023884 76.865479 0.1171875
0.12653217 88.218895 0.12695313
0.14328128 98.393631 0.13671875
0.15986937 108.71626 0.14648438
0.17559528 119.99361 0.15625
0.1921571 130.95155 0.16601563
0.20928234 142.72772 0.17578125
0.22633116 153.67567 0.18554688
0.24284191 163.83708 0.1953125
0.2591621 174.07195 0.20507813
0.27492309 184.40247 0.21484375
0.29221103 195.1763 0.22460938
0.30835685 205.48627 0.234375
0.324846  216.26062 0.24414063
0.34074584 225.53793 0.25390625
0.35777608 235.15671 0.26367188
0.37448066 244.92613 0.2734375
0.39079645 255.03233 0.28320313
0.40720919 265.43253 0.29296875
0.42408025 275.68176 0.30273438
0.44030607 285.1601 0.3125
0.45634302 294.0061 0.32226563
0.4738473 303.52011 0.33203125
0.48999918 312.43802 0.34179688
0.50623423 321.91068 0.3515625
0.52310157 331.55417 0.36132813
0.53940845 340.60025 0.37109375
0.55606925 349.03235 0.38085938
0.57312876 357.26523 0.390625
0.58934641 365.99905 0.40039063
0.60605174 374.05225 0.41015625
0.62144297 382.78885 0.41992188
0.63825595 391.7912 0.4296875
0.65511292 399.13477 0.43945313
0.67197621 407.11938 0.44921875
0.68833965 414.27087 0.45898438
0.70508796 421.61984 0.46875
0.72147638 430.164  0.47851563
0.73779744 437.41644 0.48828125
0.75471193 444.38574 0.49804688
0.77164227 449.85275 0.5078125
0.78760213 455.85779 0.51757813
0.80392253 462.46674 0.52734375
0.82070225 468.50186 0.53710938
0.83708423 475.70911 0.546875
0.85390532 481.45062 0.55664063
0.87059182 486.86877 0.56640625
0.88741374 491.75681 0.57617188
0.9040063 496.2356  0.5859375
0.92056787 500.69482 0.59570313
0.93705881 505.41068 0.60546875
0.9533807 510.0361  0.61523438
0.9705174 513.40765 0.625
0.98624092 516.47546 0.63476563
1.0029742 518.75433 0.64453125
1.0203255 521.35779 0.65429688
1.0376203 524.16809 0.6640625
1.0676868 -74.889359 0.67382813
1.0808669 -49.007015 0.68359375
1.0903113 21.847115 0.69335938
1.1092833 13.879761 0.703125
1.1256046 2.7792902 0.71289063
1.1418748 -0.4272908 0.72265625
1.1584622 -1.4899671 0.73242188
1.1750835 4.5066328 0.7421875
1.1911826 8.0420818 0.75195313
1.2082353 1.1454523 0.76171875
1.2245028 -6.6301227 0.77148438
1.2410966 -5.3123384 0.78125
1.2570745 0.93139708 0.79101563
1.2745124 4.5107307 0.80078125
1.2906361 4.6807528 0.81054688
1.3077655 2.3598969 0.8203125
1.3236766 -0.14878809 0.83007813
1.3408614 -2.0229816 0.83984375
1.3573812 -1.2200326 0.84960938
1.3739084 0.36127865 0.859375
1.389697  1.5176833 0.86914063
1.4074441 1.5217811 0.87890625
1.4233584 1.5302002 0.88867188
1.4402962 0.71756542 0.8984375
1.45665   -0.11786819 0.90820313
1.4725012 -0.13224781 0.91796875
1.4903564 0.034347177 0.92773438
1.5065725 0.6749481 0.9375
1.5227404 1.0519475 0.94726563
1.5397931 0.64603984 0.95703125
1.5560188 0.2451241 0.96679688
1.5723267 0.58911741 0.9765625
1.5891018 0.97714365 0.98632813
1.6053517 0.89168549 0.99609375
1.6231375 0.90628862 1.0058594
1.6397439 0.07160008 1.015625
1.6556935 -0.074207783 1.0253906
1.6727142 0.36492944 1.0351563
1.6888703 0.37543476 1.0449219
1.7054776 0.74230134 1.0546875
1.722432  0.18507242 1.0644531
1.73893   0.19818544 1.0742188
1.7547841 0.070631504 1.0839844
1.7717962 -0.24333596 1.09375
1.7887435 0.14923513 1.1035156
1.8054432 0.70028007 1.1132813
1.8216249 1.2029707 1.1230469
1.8372463 0.41335821 1.1328125
1.8546368 -0.19572675 1.1425781
1.871869  -0.20496547 1.1523438
1.887723  0.066757202 1.1621094

