MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.4375    s         4/25/2023 2:26:59 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00048591173 0.47847629 0.01953125
-0.001016364 0.79452991 0.029296875
-0.00057511497 0.064820051 0.0390625
-0.0010052172 -0.17233193 0.048828125
-0.00054829288 -0.51237643 0.05859375
0.0093380101 5.9093533 0.068359375
0.024526892 17.39323 0.078125
0.040728938 29.447674 0.087890625
0.057857785 40.732548 0.09765625
0.073985741 51.359833 0.10742188
0.090649739 62.850414 0.1171875
0.10651106 73.129463 0.12695313
0.12438709 85.903931 0.13671875
0.14122824 97.847733 0.14648438
0.15822656 108.7334 0.15625
0.17416994 119.36396 0.16601563
0.19048734 129.7769 0.17578125
0.20794053 140.43063 0.18554688
0.2246526 151.7997  0.1953125
0.24056235 163.45128 0.20507813
0.25728932 174.05569 0.21484375
0.27358219 184.47563 0.22460938
0.29047447 194.55321 0.234375
0.30678982 205.1086 0.24414063
0.32292446 215.4234 0.25390625
0.34045187 226.09093 0.26367188
0.35689002 236.95879 0.2734375
0.37287405 246.82515 0.28320313
0.39004353 256.44238 0.29296875
0.40625083 265.80756 0.30273438
0.42209011 275.62796 0.3125
0.43969867 285.90948 0.32226563
0.45538586 295.37314 0.33203125
0.47181264 305.65823 0.34179688
0.48851794 314.81628 0.3515625
0.50493258 323.30646 0.36132813
0.52198637 331.76666 0.37109375
0.53766465 342.12344 0.38085938
0.55413401 351.59952 0.390625
0.57183188 360.58789 0.40039063
0.58729893 369.12726 0.41015625
0.60340792 376.87564 0.41992188
0.62024689 384.93634 0.4296875
0.63715619 393.74042 0.43945313
0.65359801 401.83051 0.44921875
0.67057627 410.56992 0.45898438
0.68727958 418.41763 0.46875
0.70362091 425.78519 0.47851563
0.72043782 431.7894 0.48828125
0.73686528 438.26282 0.49804688
0.75305039 445.72012 0.5078125
0.76923686 453.56769 0.51757813
0.7866689 460.68372 0.52734375
0.80234122 467.1449 0.53710938
0.81927991 472.90283 0.546875
0.8365742 478.97998 0.55664063
0.85207355 485.0083 0.56640625
0.86906821 491.71054 0.57617188
0.88589239 497.39838 0.5859375
0.90232587 502.75742 0.59570313
0.91871202 507.35855 0.60546875
0.9350391 511.31558 0.61523438
0.95196635 515.91589 0.625
0.96854234 520.53821 0.63476563
0.98515105 524.22894 0.64453125
1.0018981 528.32117 0.65429688
1.0188093 530.90479 0.6640625
1.0359896 533.32349 0.67382813
1.0505786 534.79407 0.68359375
1.0681615 536.25629 0.69335938
1.0846212 538.15082 0.703125
1.1009321 486.49097 0.71289063
1.1289399 -31.692907 0.72265625
1.1416378 -43.73856 0.73242188
1.1542126 5.3907185 0.7421875
1.172263  8.9166317 0.75195313
1.188964  7.285327  0.76171875
1.2045869 3.4945459 0.77148438
1.2214096 -0.60141087 0.78125
1.2382444 4.3409319 0.79101563
1.2554154 10.357722 0.80078125
1.2715181 6.553978  0.81054688
1.2878275 -1.3893098 0.8203125
1.3046681 -3.443584 0.83007813
1.3218113 -0.22619963 0.83984375
1.337815  3.4362078 0.84960938
1.3543962 5.025342  0.859375
1.3712986 4.4546275 0.86914063
1.3876076 2.5437026 0.87890625
1.4043449 1.4256686 0.88867188
1.4212211 1.5234202 0.8984375
1.4373432 1.4574826 0.90820313
1.4544878 1.552254  0.91796875
1.4702783 2.5986881 0.92773438
1.4873052 3.0053406 0.9375
1.5043291 2.7517228 0.94726563
1.5202308 2.926141  0.95703125
1.5369606 2.8977542 0.96679688
1.5537105 1.4229119 0.9765625
1.5701783 1.5122443 0.98632813
1.5864451 1.5698373 0.99609375
1.6035727 1.8669665 1.0058594
1.620409  2.5133789 1.015625
1.6367023 2.9715896 1.0253906
1.6530129 2.707243  1.0351563
1.6688852 2.0212679 1.0449219
1.6866474 1.1964142 1.0546875
1.7032374 1.3427436 1.0644531
1.7201082 2.3966284 1.0742188
1.7358537 2.6563554 1.0839844
1.7529889 2.6340036 1.09375
1.769027  2.3756175 1.1035156
1.7850301 1.52722   1.1132813
1.8020836 1.5114993 1.1230469
1.8188289 2.1618605 1.1328125
1.8351682 1.5944242 1.1425781
1.851675  2.3867936 1.1523438
1.8689592 2.0900369 1.1621094
1.8854606 1.6941875 1.171875
1.9021668 1.5331805 1.1816406
1.9187317 1.6109645 1.1914063
1.9344192 1.8490851 1.2011719
1.9517313 2.4919212 1.2109375
1.9672388 2.0465999 1.2207031
1.9849536 2.1376462 1.2304688
2.0014727 1.3194978 1.2402344
2.0179467 1.5128404 1.25
2.0344105 2.019331  1.2597656
2.0511796 2.0210445 1.2695313
2.0671954 2.4919958 1.2792969
2.0841258 1.8119067 1.2890625
2.1000445 1.6373396 1.2988281
2.1174557 1.4198571 1.3085938
2.133487  1.553148  1.3183594
2.1501508 2.4536252 1.328125
2.1665049 2.3296475 1.3378906
2.1833754 2.1406264 1.3476563
2.199827  1.6696006 1.3574219
2.2162745 1.6187876 1.3671875
2.2326708 1.745671  1.3769531
2.24963   1.7888099 1.3867188
2.2656858 2.758652  1.3964844
2.2830656 2.7217717 1.40625
2.3000207 2.0799041 1.4160156
2.315984  1.5769154 1.4257813
2.3318579 1.527518  1.4355469

