MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.1347656 s         5/8/2023 9:35:51 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00071833492 -0.066682696 0.017578125
0.00016858103 -0.62808394 0.02734375
0.00014880206 -0.57131052 0.037109375
0.0038964907 2.2169948 0.046875
0.016761163 10.914877 0.056640625
0.033033762 22.559837 0.06640625
0.051709544 34.624489 0.076171875
0.068899848 46.175793 0.0859375
0.085694365 57.334675 0.095703125
0.10240842 68.43634 0.10546875
0.11907615 79.74826 0.11523438
0.1357661 90.937241 0.125
0.15266098 101.51446 0.13476563
0.16841973 111.88924 0.14453125
0.18507016 122.2916 0.15429688
0.20139149 132.99666 0.1640625
0.21844992 143.65286 0.17382813
0.23504341 154.44189 0.18359375
0.25170055 164.78963 0.19335938
0.26868632 175.15309 0.203125
0.28555405 185.23521 0.21289063
0.30129486 195.0632 0.22265625
0.31806102 205.18869 0.23242188
0.33392906 215.40321 0.2421875
0.35130221 225.38423 0.25195313
0.36696705 235.17497 0.26171875
0.38409343 244.61731 0.27148438
0.4007853 254.1609  0.28125
0.41762683 263.65012 0.29101563
0.43394884 273.11032 0.30078125
0.4503406 282.6424  0.31054688
0.46693429 291.71609 0.3203125
0.48367301 300.63324 0.33007813
0.50030315 309.09772 0.33984375
0.51709014 317.98303 0.34960938
0.53296119 326.92523 0.359375
0.5495643 335.82593 0.36914063
0.56705546 344.4317 0.37890625
0.58370018 352.58173 0.38867188
0.60036385 360.65762 0.3984375
0.61640614 368.65573 0.40820313
0.63316602 376.58829 0.41796875
0.64949042 384.44818 0.42773438
0.66568857 392.20657 0.4375
0.68300158 399.58521 0.44726563
0.69927436 406.67947 0.45703125
0.71544653 413.41855 0.46679688
0.73280448 420.22076 0.4765625
0.74968982 427.08096 0.48632813
0.76615226 433.75107 0.49609375
0.78225213 439.89493 0.50585938
0.79858911 445.82217 0.515625
0.81559998 451.30603 0.52539063
0.83231801 456.83182 0.53515625
0.84830099 462.11279 0.54492188
0.8659125 467.17084 0.5546875
0.88221377 471.62665 0.56445313
0.89828944 475.86917 0.57421875
0.91459626 479.64005 0.58398438
0.93148994 482.76572 0.59375
0.94846648 485.62415 0.60351563
0.9651885 488.32535 0.61328125
0.98159438 490.34055 0.62304688
0.9984991 491.51126 0.6328125
1.0151023 491.65305 0.64257813
1.044726  -63.484833 0.65234375
1.0588783 -50.145237 0.66210938
1.0712743 2.7526169 0.671875
1.0865525 8.8706608 0.68164063
1.1019168 -4.154295 0.69140625
1.1183995 -1.1834502 0.70117188
1.1349741 -6.1510506 0.7109375
1.1520259 -6.0531497 0.72070313
1.1688138 1.8903613 0.73046875
1.1849064 -3.6352873 0.74023438
1.2011381 -11.640042 0.75
1.2187178 -8.2653761 0.75976563
1.2345339 -3.721565 0.76953125
1.2518491 -3.5279989 0.77929688
1.26793   -3.831461 0.7890625
1.285042  -4.0849299 0.79882813
1.3014249 -5.3852053 0.80859375
1.3175365 -5.4361672 0.81835938
1.3341664 -5.0513449 0.828125
1.3516623 -5.4977088 0.83789063
1.3679514 -5.1896276 0.84765625
1.38421   -3.7772207 0.85742188
1.4009179 -3.6172569 0.8671875
1.4175388 -4.3059139 0.87695313
1.4345396 -5.1360579 0.88671875
1.4505903 -5.1720438 0.89648438
1.4675064 -5.0761552 0.90625
1.4838829 -5.0926952 0.91601563
1.5010822 -4.4608116 0.92578125
1.5172089 -4.3073297 0.93554688
1.5341861 -4.3797493 0.9453125
1.550575  -4.9202147 0.95507813
1.5669222 -5.3375959 0.96484375
1.5838989 -5.3812561 0.97460938
1.6002313 -5.0996246 0.984375
1.6170262 -4.5934319 0.99414063
1.6336381 -4.6256928 1.0039063
1.6494588 -4.6616049 1.0136719
1.6662842 -5.0865116 1.0234375
1.6833496 -5.3341684 1.0332031
1.6996145 -5.4457784 1.0429688
1.7161803 -4.9784036 1.0527344
1.7333381 -4.6972933 1.0625
1.7492943 -4.6023726 1.0722656
1.7659971 -4.9689412 1.0820313
1.7830238 -5.2673368 1.0917969
1.7994483 -5.2139907 1.1015625
1.8152193 -4.9906969 1.1113281
1.832613  -4.8103185 1.1210938
1.8492701 -4.6095996 1.1308594

