MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.8935547 s         3/30/2023 12:22:35 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.0003760797 -0.91232359 0.020507813
0.00026819762 -0.69096684 0.030273438
0.00056962017 0.25697052 0.040039063
0.0081817042 7.5236707 0.049804688
0.023635419 21.479353 0.059570313
0.041712891 37.880688 0.069335938
0.058765128 53.19141 0.079101563
0.075801253 67.972618 0.088867188
0.092988066 83.226936 0.098632813
0.10886083 98.112595 0.10839844
0.12594301 112.8602 0.11816406
0.14205796 127.4392 0.12792969
0.1590807 141.41135 0.13769531
0.17576171 155.39102 0.14746094
0.19157673 170.19205 0.15722656
0.20761813 184.86261 0.16699219
0.22495487 199.96912 0.17675781
0.24194154 214.60973 0.18652344
0.25842506 228.38055 0.19628906
0.27515393 242.45828 0.20605469
0.29105037 256.0022 0.21582031
0.30799913 270.87003 0.22558594
0.32445109 285.37219 0.23535156
0.3406688 299.1373  0.24511719
0.35666931 312.18515 0.25488281
0.37306648 325.86859 0.26464844
0.39012265 338.83994 0.27441406
0.40569347 352.5202 0.28417969
0.42239544 366.68903 0.29394531
0.43845928 380.76645 0.30371094
0.45621195 394.36444 0.31347656
0.47304565 408.29419 0.32324219
0.4893097 421.91321 0.33300781
0.50660425 435.47476 0.34277344
0.5220685 449.09186 0.35253906
0.53842938 462.54294 0.36230469
0.55557621 476.00162 0.37207031
0.57208014 489.07312 0.38183594
0.5885464 501.76151 0.39160156
0.60489947 515.44598 0.40136719
0.62208098 528.39886 0.41113281
0.63848847 541.92719 0.42089844
0.6549412 554.67664 0.43066406
0.67085701 567.17859 0.44042969
0.68739045 579.6803 0.45019531
0.70401889 592.10321 0.45996094
0.72049379 605.03729 0.46972656
0.73657364 618.30109 0.47949219
0.75342965 630.77521 0.48925781
0.76994759 642.77173 0.49902344
0.78702956 655.06793 0.50878906
0.80293328 667.16406 0.51855469
0.81953418 679.59363 0.52832031
0.83641315 692.18567 0.53808594
0.8531571 704.14417 0.54785156
0.86966562 716.09711 0.55761719
0.8860485 727.33545 0.56738281
0.9025538 738.84851 0.57714844
0.91909772 750.15051 0.58691406
0.93586618 761.69012 0.59667969
0.95183855 772.81317 0.60644531
0.96896577 784.53314 0.61621094
0.98580152 795.3938 0.62597656
1.00219   806.25024 0.63574219
1.0189897 816.48633 0.64550781
1.0362562 827.1778  0.65527344
1.052511  837.12927 0.66503906
1.0691459 847.21375 0.67480469
1.0852199 856.06702 0.68457031
1.1018621 864.98157 0.69433594
1.1176317 873.69647 0.70410156
1.1345366 882.49908 0.71386719
1.1521724 891.6524  0.72363281
1.1685144 900.21954 0.73339844
1.1853409 907.9704  0.74316406
1.2019625 915.28961 0.75292969
1.2183295 921.84686 0.76269531
1.2351863 928.19983 0.77246094
1.2513832 933.7818  0.78222656
1.2674569 939.672   0.79199219
1.2844728 944.40051 0.80175781
1.3006426 948.85016 0.81152344
1.3181056 951.05725 0.82128906
1.334502  953.03259 0.83105469
1.3511986 953.80005 0.84082031
1.3680125 954.08478 0.85058594
1.3845659 952.7796  0.86035156
1.4006406 950.83752 0.87011719
1.4175215 947.93365 0.87988281
1.4344358 944.07367 0.88964844
1.451642  939.75592 0.89941406
1.4681903 935.10864 0.90917969
1.4853799 930.64008 0.91894531
1.5021255 926.08203 0.92871094
1.5188621 921.25812 0.93847656
1.535283  916.07404 0.94824219
1.5514669 911.09174 0.95800781
1.5678169 906.63995 0.96777344
