MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     0.91015625 s        5/8/2023 9:38:56 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-9.4174175e-05 0.002682209 0.020507813
0.00013792887 -0.25548041 0.030273438
-9.3347626e-05 0.036209822 0.040039063
0.00028877403 0.37945807 0.049804688
0.0011807424 1.0354072 0.059570313
0.010285858 6.7573042 0.069335938
0.02611432 16.808807 0.079101563
0.043771807 27.47871 0.088867188
0.061883599 38.437023 0.098632813
0.079031192 48.964172 0.10839844
0.095324084 59.830471 0.11816406
0.1128369 70.024727 0.12792969
0.12910555 80.069824 0.13769531
0.14683197 89.809448 0.14746094
0.16242348 99.48835 0.15722656
0.18001066 109.51408 0.16699219
0.19594079 119.67562 0.17675781
0.21260135 129.37091 0.18652344
0.22864646 138.91504 0.19628906
0.24578853 148.2907 0.20605469
0.26217413 157.59721 0.21582031
0.27835077 166.99843 0.22558594
0.29524785 176.46022 0.23535156
0.3119761 185.79349 0.24511719
0.32807779 195.01611 0.25488281
0.34415108 204.12781 0.26464844
0.36041924 212.62825 0.27441406
0.37683547 221.30475 0.28417969
0.3943145 230.1006  0.29394531
0.41074121 239.06238 0.30371094
0.4268651 247.60574 0.31347656
0.44408131 255.80957 0.32324219
0.46022415 263.65494 0.33300781
0.47701403 271.44864 0.34277344
0.49339733 279.32272 0.35253906
0.50986916 287.20551 0.36230469
0.52655137 295.22925 0.37207031
0.54370773 302.84619 0.38183594
0.55982292 309.76498 0.39160156
0.57613409 316.58893 0.40136719
0.59305507 323.55017 0.41113281
0.60904664 330.29382 0.42089844
0.6256367 336.9469  0.43066406
0.64238667 343.36096 0.44042969
0.65885806 349.50681 0.45019531
0.67548853 355.01227 0.45996094
0.69220793 360.43256 0.46972656
0.70891607 365.88199 0.47949219
0.72640729 371.26917 0.48925781
0.74272299 376.42447 0.49902344
0.75848532 380.84729 0.50878906
0.77484816 385.10693 0.51855469
0.79164559 389.01294 0.52832031
0.80849242 392.83609 0.53808594
0.82580906 396.63986 0.54785156
0.84138912 399.82809 0.55761719
0.85873467 402.52502 0.56738281
0.87496883 404.61365 0.57714844
0.8920095 405.47293 0.58691406
0.90839493 402.02502 0.59667969
0.93307847 -37.031845 0.60644531
0.94824898 25.56868 0.61621094
0.96233964 10.811985 0.62597656
0.97951841 -5.3696337 0.63574219
0.99481279 1.3750046 0.64550781
1.0123898 -3.3424795 0.65527344
1.0288271 -0.75496733 0.66503906
1.0451757 3.5484135 0.67480469
1.0615381 -3.5596638 0.68457031
1.0788618 -8.1014633 0.69433594
1.0948908 -2.4022908 0.70410156
1.1123855 1.2116879 0.71386719
1.1280347 -0.94108284 0.72363281
1.1449661 -1.8773973 0.73339844
1.1614282 -2.2344291 0.74316406
1.1779604 -3.3947082 0.75292969
1.1946937 -3.375411 0.76269531
1.211187  -2.9566884 0.77246094
1.2273906 -2.9545279 0.78222656
1.2446741 -2.5572629 0.79199219
1.2607006 -1.739189 0.80175781
1.2783694 -1.8848479 0.81152344
1.2945012 -2.5243311 0.82128906
1.3110832 -2.964437 0.83105469
1.3268709 -3.1046569 0.84082031
1.3442354 -2.8724222 0.85058594
1.3604867 -2.2769718 0.86035156
1.3777421 -1.841411 0.87011719
1.3944684 -1.7778575 0.87988281
1.4106812 -2.1775067 0.88964844
1.4274389 -2.6018918 0.89941406

