MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.011719 s         4/21/2023 10:52:48 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00095465331 0.43049455 0.01953125
-0.001132365 0.20623207 0.029296875
-0.0013247739 0.70348382 0.0390625
-0.0013968622 3.5034866 0.048828125
-0.00034657199 3.2384694 0.05859375
-0.00057966541 -1.0979176 0.068359375
-0.00089497789 -1.1327863 0.078125
-0.0010641833 1.3763458 0.087890625
-0.0013319128 2.9067695 0.09765625
-0.0013955741 1.9855052 0.10742188
-0.00055180921 -0.282377 0.1171875
-0.0022365833 -0.58472157 0.12695313
-0.0015560674 0.90576708 0.13671875
-0.0021752028 2.1853299 0.14648438
-0.0030326627 2.0880997 0.15625
-0.0030180204 -1.3115257 0.16601563
-0.0034471555 0.43094158 0.17578125
-0.00292843 2.156198 0.18554688
-0.0028285519 1.16162 0.1953125
-0.0028696477 0.1502037 0.20507813
-0.0039542951 -0.67181885 0.21484375
-0.0041175443 1.0954589 0.22460938
-0.0052521252 -1.1099875 0.234375
-0.0046664504 0.47728419 0.24414063
-0.00396231 0.59224665 0.25390625
-0.0045577213 1.3352185 0.26367188
-0.0050833533 0.36247075 0.2734375
-0.0050358386 1.1989474 0.28320313
-0.0051605045 1.5586615 0.29296875
-0.0053671063 1.9779056 0.30273438
-0.0047267992 -0.7532537 0.3125
-0.0045948271 -1.3258308 0.32226563
-0.0053887214 2.1021814 0.33203125
-0.0056937747 0.53800642 0.34179688
-0.0062271962 -0.41611493 0.3515625
-0.0069292588 -2.0590425 0.36132813
-0.0071051414 -0.64574182 0.37109375
-0.0097405585 1.5665591 0.38085938
-0.0084151067 1.8870831 0.390625
-0.008509296 -0.74505806 0.40039063
-0.0077925841 -0.39152801 0.41015625
-0.0094518317 -2.5826693 0.41992188
-0.0090594981 1.5762448 0.4296875
-0.0084409248 1.7823279 0.43945313
-0.0083258525 0.40896237 0.44921875
-0.0099220658 1.5030801 0.45898438
-0.0099894321 0.93698502 0.46875
-0.00970254 1.2584776 0.47851563
-0.010178665 3.8330257 0.48828125
-0.0098780906 2.7506053 0.49804688
-0.010592807 0.46260655 0.5078125
-0.0099482927 2.0210445 0.51757813
-0.010008869 2.6566534 0.52734375
-0.010394888 3.3754854 0.53710938
-0.010179358 0.86560845 0.546875
-0.010745252 0.21122396 0.55664063
-0.011077777 2.3268909 0.56640625
-0.0117131 3.0095129 0.57617188
-0.011265492 0.089630485 0.5859375
-0.012236805 1.6684085 0.59570313
-0.012743298 0.0052899122 0.60546875
-0.011869626 -0.21278858 0.61523438
-0.013476305 1.2845546 0.625
-0.014185862 0.97133219 0.63476563
-0.014167972 2.5105476 0.64453125
-0.013439015 3.3637881 0.65429688
-0.014677003 0.88311732 0.6640625
-0.013961499 -0.60342252 0.67382813
-0.015637219 1.8268079 0.68359375
-0.015488655 2.8397143 0.69335938
-0.01551052 1.1144578 0.703125
-0.015451216 2.6673822 0.71289063
-0.015621849 1.0854006 0.72265625
-0.015308212 -0.17233193 0.73242188
-0.018050166 -1.5790015 0.7421875
-0.016754387 1.700744 0.75195313
-0.015617669 2.7990341 0.76171875
-0.016754888 -3.0756741 0.77148438
-0.017939806 1.0492653 0.78125
-0.017803922 0.94771385 0.79101563
-0.017334372 0.80429018 0.80078125
-0.017956512 -1.1125207 0.81054688
-0.017377777 0.87484717 0.8203125
-0.01784252 1.0205805 0.83007813
-0.018037051 1.2274832 0.83984375
-0.017443622 1.0865927 0.84960938
-0.018801486 0.01847744 0.859375
-0.019240184 0.87864697 0.86914063
-0.018812815 1.0562688 0.87890625
-0.019792255 1.0502338 0.88867188
-0.019177996 -1.1058152 0.8984375
-0.020305844 -0.89876354 0.90820313
-0.019864781 0.62800944 0.91796875
-0.019820249 -0.00461936 0.92773438
-0.019703416 0.18335879 0.9375
-0.021111462 -0.88915229 0.94726563
-0.021041984 1.5107542 0.95703125
-0.020778969 0.85525215 0.96679688
-0.020824624 -0.53294003 0.9765625
-0.020966142 -0.43489039 0.98632813
