MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.010742 s         5/23/2023 12:44:46 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
9.5548843e-05 0.23782253 0.017578125
0.00022925345 -0.20630658 0.02734375
-8.6968095e-05 -0.064596534 0.037109375
0.00016866125 0.12911856 0.046875
0.00033094146 0.63121319 0.056640625
0.00015074082 0.47683716 0.06640625
-0.00010850783 0.42691827 0.076171875
-6.3321226e-05 -0.1180172 0.0859375
-0.00034427262 0.065118074 0.095703125
-0.00078360707 0.074058771 0.10546875
-0.0010241765 0.38154423 0.11523438
-0.0018044264 0.21725893 0.125
-0.0012302898 0.32648444 0.13476563
-0.0014597805 0.030323863 0.14453125
-0.0018475251 -0.013783574 0.15429688
-0.0020911389 -0.030919909 0.1640625
-0.0022878647 0.2810359 0.17382813
-0.0027229956 0.38929284 0.18359375
-0.0030634745 0.2438575 0.19335938
-0.0030960797 0.44256449 0.203125
-0.0030090995 -0.0029802322 0.21289063
-0.0034187476 0.19580126 0.22265625
-0.0035766694 0.13418496 0.23242188
-0.0040883292 0.55842102 0.2421875
-0.0040838551 0.22336841 0.25195313
-0.0041345921 0.24601817 0.26171875
-0.0047554281 0.11563301 0.27148438
-0.0050062742 -0.093281269 0.28125
-0.0049266554 -0.0035017729 0.29101563
-0.0051226025 0.33736229 0.30078125
-0.0056087081 0.33609569 0.31054688
-0.0054484406 0.39368868 0.3203125
-0.0062152497 -0.072941184 0.33007813
-0.0060952557 0.22232533 0.33984375
-0.0066827661 0.070631504 0.34960938
-0.006783016 0.33415854 0.359375
-0.006802103 0.30703843 0.36914063
-0.0079320436 0.2938509 0.37890625
-0.0071593984 0.24311244 0.38867188
-0.0076997974 -0.093281269 0.3984375
-0.008059185 -0.16748905 0.40820313
-0.0080280621 -0.056624413 0.41796875
-0.0081792604 0.22731721 0.42773438
-0.0086354343 0.29079616 0.4375
-0.0088024018 0.26375055 0.44726563
-0.0085321469 -0.11585653 0.45703125
-0.0089105936 0.0282377 0.46679688
-0.0091721294 0.017657876 0.4765625
-0.0098568089 0.37774444 0.48632813
-0.0089417147 0.40203333 0.49609375
-0.0097028092 0.4915148 0.50585938
-0.010446749 0.040605664 0.515625
-0.010163112 -0.12010336 0.52539063
-0.010716223 -0.11228025 0.53515625
-0.010810592 0.24229288 0.54492188
-0.011346421 0.3772974 0.5546875
-0.011541117 0.41522086 0.56445313
-0.011602891 0.10892749 0.57421875
-0.011973261 -0.083521008 0.58398438
-0.011889473 -0.080317259 0.59375
-0.011988926 0.13031065 0.60351563
-0.011965629 0.2361834 0.61328125
-0.012841389 0.52347779 0.62304688
-0.012858051 0.46357512 0.6328125
-0.013702288 0.17657876 0.64257813
-0.013129185 -0.00044703484 0.65234375
-0.013542729 -0.25480986 0.66210938
-0.01390845 0.35755336 0.671875
-0.013609086 0.12777746 0.68164063
-0.014308076 0.55164099 0.69140625
-0.014257565 -0.02451241 0.70117188
-0.014688296 0.14491379 0.7109375
-0.015083178 -0.085309148 0.72070313
-0.014548198 0.12673438 0.73046875
-0.01474274 0.47929585 0.74023438
-0.015574967 0.54776669 0.75
-0.015344426 0.15236437 0.75976563
-0.015680438 0.26941299 0.76953125
-0.016234331 -0.070333481 0.77929688
-0.016414134 0.11831522 0.7890625
-0.01644567 0.23849308 0.79882813
-0.017206157 0.55082142 0.80859375
-0.017233854 0.47981739 0.81835938
-0.017424416 0.10699034 0.828125
-0.017711449 0.28155744 0.83789063
-0.017697509 -0.16063452 0.84765625
-0.018304607 0.16897917 0.85742188
-0.018196288 0.25220215 0.8671875
-0.018425388 0.52236021 0.87695313
-0.018640112 0.30815601 0.88671875
-0.018936077 0.15489757 0.89648438
-0.019505005 0.038221478 0.90625
-0.018985426 0.23707747 0.91601563
-0.019723106 0.24683774 0.92578125
-0.020240942 0.60603023 0.93554688
-0.019722527 0.29340386 0.9453125
-0.020022949 0.26941299 0.95507813
-0.020729607 -0.18641353 0.96484375
-0.020828269 0.11049211 0.97460938
-0.021625131 0.14595687 0.984375
