MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.010742 s         4/21/2023 4:45:42 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00060043792 -1.591593 0.018554688
-0.00053497846 -1.9410253 0.028320313
0.0003756326 -1.3808161 0.038085938
-9.6952645e-05 -0.93221664 0.047851563
-0.00018798806 -1.0542572 0.057617188
-0.0008988952 -1.9601732 0.067382813
-0.0015492209 -1.0869652 0.077148438
-0.0011603739 -1.4720112 0.086914063
-0.0015243219 -0.6031245 0.096679688
-0.001996465 -1.1129677 0.10644531
-0.0015952826 -0.11079013 0.11621094
-0.0022494155 -1.174286 0.12597656
-0.0021534658 -0.955984 0.13574219
-0.0029092098 -1.9193441 0.14550781
-0.0034339784 -1.7658621 0.15527344
-0.0031441909 -1.0523945 0.16503906
-0.0025131702 -0.98027289 0.17480469
-0.0033339383 -0.5120039 0.18457031
-0.0038470812 -0.62219799 0.19433594
-0.004334332 -1.6474724 0.20410156
-0.0037803038 0.0018626451 0.21386719
-0.0042145001 -0.10453165 0.22363281
-0.0049626064 -1.0157377 0.23339844
-0.0048040068 -0.44882298 0.24316406
-0.0052079996 -0.41045249 0.25292969
-0.0058173807 -1.1523068 0.26269531
-0.0055539799 -0.66041946 0.27246094
-0.0060172719 0.07390976 0.28222656
-0.0060956404 -0.76763332 0.29199219
-0.0066379574 -1.1382997 0.30175781
-0.0063390513 -1.0722131 0.31152344
-0.0068223053 -0.052973628 0.32128906
-0.0072984202 -0.6403029 0.33105469
-0.0073114019 -1.346916 0.34082031
-0.0078422166 -2.0170212 0.35058594
-0.0073014242 -0.062584877 0.36035156
-0.0080501912 -1.4478713 0.37011719
-0.0077940407 -1.0560453 0.37988281
-0.0080841715 -1.372695 0.38964844
-0.0085563241 -1.5755743 0.39941406
-0.0090935156 -1.1622906 0.40917969
-0.0088461982 -1.7060339 0.41894531
-0.0089388536 -1.5857071 0.42871094
-0.0090105226 -1.8984824 0.43847656
-0.0096051358 -0.8315593 0.44824219
-0.0097416341 -2.3735313 0.45800781
-0.0099720992 -1.5176088 0.46777344
-0.0099915024 -0.57004392 0.47753906
-0.0097480183 0.044554472 0.48730469
-0.01046241 -1.6979128 0.49707031
-0.010945816 -1.3439357 0.50683594
-0.010977983 -1.3139844 0.51660156
-0.011051197 -0.33788383 0.52636719
-0.011047932 -0.8417666 0.53613281
-0.011519806 -0.77486038 0.54589844
-0.011791397 -0.32052398 0.55566406
-0.012141767 -0.2117455 0.56542969
-0.011750985 -1.0565668 0.57519531
-0.011725847 -0.97438693 0.58496094
-0.012503505 -0.70989132 0.59472656
-0.012830099 0.115484 0.60449219
-0.013744472 -1.1681765 0.61425781
-0.012902086 -0.66615641 0.62402344
-0.013955345 -1.3763458 0.63378906
-0.014651459 -1.5059859 0.64355469
-0.014156832 -0.35427511 0.65332031
-0.01428511 -0.9906292 0.66308594
-0.014783558 -1.3110787 0.67285156
-0.014408496 -0.73008239 0.68261719
-0.01469712 0.16927719 0.69238281
-0.015041816 -0.78611076 0.70214844
-0.015847977 -0.85763633 0.71191406
-0.015869152 -1.0225177 0.72167969
-0.015117588 -0.52690506 0.73144531
-0.016154865 -0.60707331 0.74121094
-0.016877476 -0.77307224 0.75097656
-0.016162857 -2.2217631 0.76074219
-0.016764242 -1.6944855 0.77050781
-0.016763762 -1.8964708 0.78027344
-0.017332328 -1.0295212 0.79003906
-0.017512413 -0.77083707 0.79980469
-0.017979078 -1.1328608 0.80957031
-0.018178836 -1.5058368 0.81933594
-0.018346319 -1.1079758 0.82910156
-0.018863792 -0.61303377 0.83886719
-0.01883857 -2.0683556 0.84863281
-0.019403756 -1.7647445 0.85839844
-0.01944866 -0.692904 0.86816406
-0.01954128 -0.10997057 0.87792969
-0.019320156 -1.7239898 0.88769531
-0.018867142 -1.8255413 0.89746094
-0.019763194 -1.161024 0.90722656
-0.02015074 -0.12867153 0.91699219
-0.020227162 -0.76569617 0.92675781
-0.020020837 -0.73723495 0.93652344
-0.020192515 -1.0604411 0.94628906
