MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.011719 s         4/21/2023 12:10:17 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.001038106 1.9969046 0.01953125
0.00086278404 -0.48592687 0.029296875
0.00085805642 -3.0111523 0.0390625
0.00031610654 0.05543232 0.048828125
4.0476258e-05 0.4889816 0.05859375
-0.00022953618 -1.3641268 0.068359375
-0.0009920731 -2.0591168 0.078125
-0.00074612367 -1.7039478 0.087890625
-0.00066696707 0.68902969 0.09765625
-0.00092898216 1.7919391 0.10742188
-0.00091598451 -0.63382089 0.1171875
-0.0018972494 -0.81777573 0.12695313
-0.0014128293 0.29526651 0.13671875
-0.0029627651 -0.84042549 0.14648438
-0.0031644558 0.87857246 0.15625
-0.0036726734 0.86709857 0.16601563
-0.0029693821 0.83565712 0.17578125
-0.0034277891 -0.10840595 0.18554688
-0.0029531356 0.22098422 0.1953125
-0.0022215904 -1.866743 0.20507813
-0.0027993794 -1.1354685 0.21484375
-0.0034888871 1.6779453 0.22460938
-0.0039565167 0.61742961 0.234375
-0.0038038041 -1.7044693 0.24414063
-0.0059709791 -0.43079257 0.25390625
-0.0058751479 -0.53048134 0.26367188
-0.0056610601 -2.112463 0.2734375
-0.005441342 -1.9586831 0.28320313
-0.005424093 0.3284961 0.29296875
-0.0061384351 -1.1892617 0.30273438
-0.0062129148 -1.6168505 0.3125
-0.0058958754 0.36157668 0.32226563
-0.0057605752 0.79251826 0.33203125
-0.0071457159 0.14200807 0.34179688
-0.0069597065 -0.74863434 0.3515625
-0.0068541658 0.28647482 0.36132813
-0.0074770972 0.26538968 0.37109375
-0.0076209302 0.41842461 0.38085938
-0.0075945221 0.49814582 0.390625
-0.0089571765 -0.83945692 0.40039063
-0.0088704489 1.0932982 0.41015625
-0.0092748972 0.46171248 0.41992188
-0.0089007616 0.39935112 0.4296875
-0.0092399744 0.94592571 0.43945313
-0.0096355993 1.5518069 0.44921875
-0.0093684951 -0.93519688 0.45898438
-0.0091806538 -1.456067 0.46875
-0.0095827673 -1.3174117 0.47851563
-0.0094647007 -0.58725476 0.48828125
-0.010115241 0.25682151 0.49804688
-0.010073826 -1.1248142 0.5078125
-0.012432543 -1.2412667 0.51757813
-0.011990082 1.6109645 0.52734375
-0.01181234 0.95024705 0.53710938
-0.011815879 -1.7298013 0.546875
-0.011505747 -0.32655895 0.55664063
-0.012088372 -0.59232116 0.56640625
-0.012417352 -0.10982156 0.57617188
-0.012582034 0.26762486 0.5859375
-0.013115829 -0.6622076 0.59570313
-0.013707959 -2.2349505 0.60546875
-0.013476962 0.82679093 0.61523438
-0.014131937 2.6933849 0.625
-0.013479945 0.64976513 0.63476563
-0.013045279 1.2511015 0.64453125
-0.012761693 -0.069662929 0.65429688
-0.013827284 1.360476 0.6640625
-0.013675838 0.34369528 0.67382813
-0.013641173 0.21196902 0.68359375
-0.014085219 -1.1487305 0.69335938
-0.01467596 2.7179718 0.703125
-0.014547586 0.32573938 0.71289063
-0.01389644 1.0830909 0.72265625
-0.014991189 0.14603138 0.73242188
-0.015839264 -1.2672693 0.7421875
-0.016567161 -0.66868961 0.75195313
-0.016963711 0.91135502 0.76171875
-0.017365009 1.1721998 0.77148438
-0.016645905 -1.2085587 0.78125
-0.017754292 -0.91917813 0.79101563
-0.017342059 -0.891909 0.80078125
-0.016504161 0.74036419 0.81054688
-0.016293013 -0.68880618 0.8203125
-0.016393691 1.7940998 0.83007813
-0.017943718 -1.9652396 0.83984375
-0.017982971 -0.2079457 0.84960938
-0.018677255 -0.44032931 0.859375
-0.018298883 1.0204315 0.86914063
-0.019590938 -0.34853816 0.87890625
-0.019796485 -1.9170344 0.88867188
-0.019175991 -1.8383563 0.8984375
-0.019182215 -0.24423003 0.90820313
-0.018927818 0.14610589 0.91796875
-0.019704897 1.0496378 0.92773438
-0.020595515 -0.073239207 0.9375
-0.020789707 -1.6141683 0.94726563
-0.020954898 -1.6129762 0.95703125
-0.021199076 0.21524727 0.96679688
-0.02048628 0.50455332 0.9765625
