MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.011719 s         4/24/2023 10:03:31 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.0005205294 -0.34362078 0.018554688
-5.4041811e-05 -0.50716102 0.028320313
-0.00031461977 -0.57466328 0.038085938
-0.0002269402 -0.52429736 0.047851563
0.00024155022 -0.14066696 0.057617188
-0.0010253515 -0.15720725 0.067382813
-0.00069451478 -0.034421682 0.077148438
-0.00080732832 -0.89839101 0.086914063
-0.0010970916 -0.29712915 0.096679688
-0.0011395486 -0.45932829 0.10644531
-0.00068222667 -0.27269125 0.11621094
-0.0017122721 -0.51259995 0.12597656
-0.0018020917 -0.20109117 0.13574219
-0.0015897729 -0.43384731 0.14550781
-0.0023213211 -0.37610531 0.15527344
-0.0021387876 -0.56296587 0.16503906
-0.0024127509 -0.033453107 0.17480469
-0.003109497 -0.14357269 0.18457031
-0.0031205858 0.069364905 0.19433594
-0.0040718778 -0.46528876 0.20410156
-0.0039475234 -0.14983118 0.21386719
-0.0041048164 -0.4568696 0.22363281
-0.0035497346 -0.23692846 0.23339844
-0.0044278293 0.27194619 0.24316406
-0.0044987695 -0.084936619 0.25292969
-0.0047798078 -0.0022351742 0.26269531
-0.0051943976 -0.48093498 0.27246094
-0.0052913981 -0.46499074 0.28222656
-0.0054723998 -0.65512955 0.29199219
-0.0052950401 0.048577785 0.30175781
-0.0063412664 0.049993396 0.31152344
-0.0061952053 0.15750527 0.32128906
-0.0063903406 -0.50902367 0.33105469
-0.0066825515 0.030621886 0.34082031
-0.0065138838 -0.62033534 0.35058594
-0.0066644638 -0.059679151 0.36035156
-0.0072100731 -0.14878809 0.37011719
-0.0072731213 0.19684434 0.37988281
-0.007618391 -0.41075051 0.38964844
-0.007874269 -0.22873282 0.39941406
-0.0079775145 -0.4516542 0.40917969
-0.0085341288 -0.19662082 0.41894531
-0.0082873367 -0.17866492 0.42871094
-0.0087363478 0.0010430813 0.43847656
-0.0086997477 -0.20593405 0.44824219
-0.0088766012 -0.32290816 0.45800781
-0.0098106647 -0.38973987 0.46777344
-0.0096072219 -0.26583672 0.47753906
-0.0098403785 0.0034272671 0.48730469
-0.0098468633 -0.20496547 0.49707031
-0.01035803 0.038743019 0.50683594
-0.010189554 -0.30606985 0.51660156
-0.011234658 -0.2283603 0.52636719
-0.010925069 -0.58546662 0.53613281
-0.011169405 -0.10751188 0.54589844
-0.011499046 -0.37185848 0.55566406
-0.011461434 0.02361834 0.56542969
-0.011854853 -0.61281025 0.57519531
-0.011581074 -0.21867454 0.58496094
-0.012683657 -0.62130392 0.59472656
-0.012646877 -0.16622245 0.60449219
-0.012973851 -0.049769878 0.61425781
-0.012851768 -0.015422702 0.62402344
-0.01328838 -0.1360476 0.63378906
-0.013412957 0.0075250864 0.64355469
-0.013590547 -0.53867698 0.65332031
-0.01419252 -0.26389956 0.66308594
-0.013976985 -0.11399388 0.67285156
-0.014412033 -0.020936131 0.68261719
-0.014085346 0.013187528 0.69238281
-0.014774295 -0.26322901 0.70214844
-0.015404958 -0.43816864 0.71191406
-0.015398689 -0.78611076 0.72167969
-0.01537298 -0.063627958 0.73144531
-0.01621782 -0.17866492 0.74121094
-0.016054558 0.0012665987 0.75097656
-0.016273186 -0.38325787 0.76074219
-0.016042644 -0.39294362 0.77050781
-0.016901135 -0.50313771 0.78027344
-0.016718365 -0.35196543 0.79003906
-0.017093759 -0.57518482 0.79980469
-0.016555386 -0.056698918 0.80957031
-0.017249947 -0.40784478 0.81933594
-0.017841963 -0.20802021 0.82910156
-0.018196044 -0.39964914 0.83886719
-0.018158292 -0.48488379 0.84863281
-0.018083939 -0.55715442 0.85839844
-0.018617222 0.15124679 0.86816406
-0.019181833 -0.078454614 0.87792969
-0.018774588 -0.29169023 0.88769531
-0.01883672 -0.4722923 0.89746094
-0.01906823 -0.35740435 0.90722656
-0.019241706 0.040605664 0.91699219
-0.019599985 -0.21256506 0.92675781
-0.020099256 0.22388995 0.93652344
-0.020881506 -0.4683435 0.94628906
