MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         5/23/2023 2:35:44 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00041550162 -0.84616244 0.020507813
-0.0011389109 3.4483523 0.030273438
-0.0029134655 0.6082654 0.040039063
-0.0020163734 2.5073438 0.049804688
-0.00039625939 1.391992 0.059570313
-2.1759293e-05 1.5675277 0.069335938
-0.0010721388 1.8419325 0.079101563
-0.0011910907 3.4327805 0.088867188
-0.0019065366 1.5030056 0.098632813
-0.0026710636 -0.60617924 0.10839844
-0.0018523706 0.77158213 0.11816406
-0.0018140249 4.1636081 0.12792969
-0.0026191603 0.31620264 0.13769531
-0.0033402047 1.0813028 0.14746094
-0.0027486032 -0.38728118 0.15722656
-0.0036105169 3.2058358 0.16699219
-0.0036484534 0.12688339 0.17675781
-0.0039025913 0.82217157 0.18652344
-0.0031748507 0.071823597 0.19628906
-0.0036040107 0.43302774 0.20605469
-0.0031210594 1.5019625 0.21582031
-0.0049205241 0.14014542 0.22558594
-0.0043950845 0.019297004 0.23535156
-0.0048318626 1.5828758 0.24511719
-0.004453673 -0.80645084 0.25488281
-0.0047528162 -0.26084483 0.26464844
-0.0064514759 1.2080371 0.27441406
-0.0061902762 -0.43578446 0.28417969
-0.0060623558 -0.46566129 0.29394531
-0.0059683253 -0.85353851 0.30371094
-0.006871263 2.7778001 0.31347656
-0.0066452902 0.6583333 0.32324219
-0.0069597685 0.63464046 0.33300781
-0.0074206437 0.4607439 0.34277344
-0.0079873987 1.694262 0.35253906
-0.0078996262 2.9297173 0.36230469
-0.0096517662 0.49389899 0.37207031
-0.0094869649 1.6174465 0.38183594
-0.0086191595 1.1015683 0.39160156
-0.0089260461 -1.7235428 0.40136719
-0.0089499988 -0.81241131 0.41113281
-0.0094121341 -0.86642802 0.42089844
-0.0086100204 1.7015636 0.43066406
-0.0094215786 3.951937 0.44042969
-0.0097772926 0.99420547 0.45019531
-0.0098120375 -0.13843179 0.45996094
-0.0092873201 1.4358014 0.46972656
-0.0097286748 1.7510355 0.47949219
-0.010195043 2.9752402 0.48925781
-0.0099718058 3.2033772 0.49902344
-0.011062997 0.65296888 0.50878906
-0.011953567 1.4529377 0.51855469
-0.011980344 4.3415279 0.52832031
-0.013249124 3.5522132 0.53808594
-0.013933768 1.0482222 0.54785156
-0.012934055 0.81129372 0.55761719
-0.012452813 0.30130148 0.56738281
-0.011825223 0.80227852 0.57714844
-0.012426404 1.4106184 0.58691406
-0.011880519 0.020563602 0.59667969
-0.012284469 -0.31515956 0.60644531
-0.012638673 0.74528158 0.61621094
-0.01351423 3.6354363 0.62597656
-0.012209096 0.8648634 0.63574219
-0.013213688 -0.44442713 0.64550781
-0.013608181 -0.091195107 0.65527344
-0.014520467 1.5264004 0.66503906
-0.013499531 -2.8463454 0.67480469
-0.015675841 2.2651255 0.68457031
-0.014909572 1.1601299 0.69433594
-0.014849845 1.623705 0.70410156
-0.016651545 -3.7411599 0.71386719
-0.016364625 0.27947128 0.72363281
-0.016588096 0.042691827 0.73339844
-0.017003672 1.4299154 0.74316406
-0.016587975 -1.4339387 0.75292969
-0.017125549 -1.21966 0.76269531
-0.017012207 2.7237086 0.77246094
-0.018101694 0.5094707 0.78222656
-0.018536257 -2.0558386 0.79199219
-0.017633939 1.0543317 0.80175781
-0.017321054 1.1374056 0.81152344
-0.018225286 0.45783818 0.82128906
-0.017324094 -0.90293586 0.83105469
-0.01806635 -1.411289 0.84082031
-0.018957194 1.4834851 0.85058594
-0.019216795 0.35122037 0.86035156
-0.018500892 0.1373142 0.87011719
-0.019330923 -0.62935054 0.87988281
-0.01913457 1.308769 0.88964844
-0.021151258 1.80915 0.89941406
-0.020666983 2.6155262 0.90917969
-0.02097398 0.75235963 0.91894531
-0.020780392 0.26129186 0.92871094
-0.020779014 -2.6226788 0.93847656
-0.020870594 0.3054738 0.94824219
-0.022644013 -0.19334257 0.95800781
-0.023423303 -0.37238002 0.96777344
-0.02279379 2.0579247 0.97753906
