MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.010742 s         4/21/2023 9:53:15 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00037781344 -1.3592839 0.018554688
-0.00062823237 0.29236078 0.028320313
-0.00080665853 -0.15065074 0.038085938
-9.1350463e-05 1.4280528 0.047851563
4.1361935e-05 -0.37051737 0.057617188
-0.0014586503 -1.8606335 0.067382813
-0.0017178674 -1.7989427 0.077148438
-0.0017297762 2.3007393 0.086914063
-0.00041251915 1.2464821 0.096679688
-0.00097765692 -0.50716102 0.10644531
-0.0011269703 -1.0425597 0.11621094
-3.511212e-05 0.45210123 0.12597656
0.00023465366 -0.90405345 0.13574219
-0.0016974538 -0.034198165 0.14550781
-0.0028979953 1.3305992 0.15527344
-0.0045086262 0.40896237 0.16503906
-0.0051055709 -1.0354072 0.17480469
-0.0039068214 -0.58338046 0.18457031
-0.0042412104 -0.047758222 0.19433594
-0.0028729481 -2.0542741 0.20410156
-0.002918019 3.3025444 0.21386719
-0.0032468168 1.5072525 0.22363281
-0.0036946977 -0.84765255 0.23339844
-0.0052612307 3.4148245 0.24316406
-0.0063157664 2.4922938 0.25292969
-0.0050728833 3.9873271 0.26269531
-0.0048790197 1.1683255 0.27246094
-0.0056190193 0.75094402 0.28222656
-0.0040346216 1.8784404 0.29199219
-0.0051037306 1.4517456 0.30175781
-0.0050219661 0.040531158 0.31152344
-0.0063081528 1.7283857 0.32128906
-0.0056349211 -1.3475865 0.33105469
-0.0066383611 -0.64365566 0.34082031
-0.0076926029 0.1630187 0.35058594
-0.0067443065 0.037625432 0.36035156
-0.0082287462 0.58874488 0.37011719
-0.0087103723 -1.3040751 0.37988281
-0.0090449071 -1.6999245 0.38964844
-0.010069734 0.14208257 0.39941406
-0.0093960539 -0.10251999 0.40917969
-0.0090121841 1.1143833 0.41894531
-0.0087255873 0.99331141 0.42871094
-0.0089841001 -1.4262646 0.43847656
-0.010138192 0.37945807 0.44824219
-0.010144195 -0.42185187 0.45800781
-0.0093616098 1.1953712 0.46777344
-0.0098189022 -3.157109 0.47753906
-0.0095711276 0.72963536 0.48730469
-0.0092973532 2.2845716 0.49707031
-0.0098021878 -0.74863434 0.50683594
-0.010629202 -1.2808293 0.51660156
-0.010988427 3.2793732 0.52636719
-0.012361827 -0.73984265 0.53613281
-0.010721845 -0.35874546 0.54589844
-0.011369821 -1.7252564 0.55566406
-0.011737035 -1.1204928 0.56542969
-0.013116566 -2.6648493 0.57519531
-0.012383454 -1.4784187 0.58496094
-0.012427673 -3.7863851 0.59472656
-0.012809657 1.091361 0.60449219
-0.014536129 -3.8045645 0.61425781
-0.013364877 2.0563602 0.62402344
-0.013213004 0.99979341 0.63378906
-0.013010605 2.4993718 0.64355469
-0.013415906 -1.2262166 0.65332031
-0.014854221 -0.41402876 0.66308594
-0.012840781 -0.0046938658 0.67285156
-0.014043486 -0.51885843 0.68261719
-0.014211884 -0.22210181 0.69238281
-0.014618173 -1.1900812 0.70214844
-0.016259324 0.092610717 0.71191406
-0.015765624 -0.62286854 0.72167969
-0.016725767 0.8533895 0.73144531
-0.017652271 -0.30875206 0.74121094
-0.016506711 1.6483665 0.75097656
-0.016532427 1.5812367 0.76074219
-0.017158998 -2.0200758 0.77050781
-0.016495021 1.7185509 0.78027344
-0.016293531 -1.6699731 0.79003906
-0.017596763 1.0190159 0.79980469
-0.019413486 -3.1855702 0.80957031
-0.018673444 -1.4290959 0.81933594
-0.018677717 -2.4149566 0.82910156
-0.018576307 -0.73187053 0.83886719
-0.018812532 1.3742596 0.84863281
-0.019342853 0.050440431 0.85839844
-0.019526782 -1.0357052 0.86816406
-0.02040332 -2.0069628 0.87792969
-0.019540751 3.3909826 0.88769531
-0.020231789 3.0515342 0.89746094
-0.020331608 0.039711595 0.90722656
-0.021664992 0.42408705 0.91699219
-0.020012628 1.0371953 0.92675781
-0.020784466 -2.6582181 0.93652344
-0.020176137 0.2270937 0.94628906
-0.021719471 0.29586256 0.95605469
-0.021549709 0.59045851 0.96582031
