MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         4/24/2023 3:04:03 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00035505707 -1.1351705 0.01953125
-0.0003290477 -0.81412494 0.029296875
2.9993605e-05 -0.19393861 0.0390625
-0.00066608476 -0.61288476 0.048828125
-0.00092335278 -0.38973987 0.05859375
-0.00018473674 -0.71384013 0.068359375
-0.00069594628 -0.35598874 0.078125
-0.0012475705 -0.18015504 0.087890625
-0.0016211683 -0.57071447 0.09765625
-0.0019430305 0.68083405 0.10742188
-0.0018858787 0.27097762 0.1171875
-0.0014171163 0.45724213 0.12695313
-0.0023013244 0.31150877 0.13671875
-0.0028999562 0.14096498 0.14648438
-0.0028327811 0.11846423 0.15625
-0.0030566859 0.59299171 0.16601563
-0.0034078748 -0.2963841 0.17578125
-0.0033569802 -0.79892576 0.18554688
-0.0036179102 0.18306077 0.1953125
-0.0036302863 -0.87834895 0.20507813
-0.0043393648 -0.35777688 0.21484375
-0.0045566005 -0.46290457 0.22460938
-0.0044809636 -1.1274964 0.234375
-0.0043165195 0.020861626 0.24414063
-0.004865115 -0.37826598 0.25390625
-0.0054086326 -0.53279102 0.26367188
-0.0049803336 -0.18626451 0.2734375
-0.0056545124 0.192523 0.28320313
-0.006114441 -0.030994415 0.29296875
-0.0062451889 0.061914325 0.30273438
-0.0062391614 0.002682209 0.3125
-0.0066570742 -0.17054379 0.32226563
-0.0064622057 0.17978251 0.33203125
-0.0069943932 0.45031309 0.34179688
-0.0073229815 -0.0070035458 0.3515625
-0.007517329 -0.40985644 0.36132813
-0.0071766828 0.24370849 0.37109375
-0.0071758674 -0.48413873 0.38085938
-0.0079809306 -0.53033233 0.390625
-0.0083630355 -0.75243413 0.40039063
-0.0086682104 -0.52116811 0.41015625
-0.0088719493 -1.2141466 0.41992188
-0.0090756482 0.27060509 0.4296875
-0.0090841549 -0.26494265 0.43945313
-0.0093728052 -0.24281442 0.44921875
-0.0099274805 -1.8679351 0.45898438
-0.010609929 1.0490417 0.46875
-0.011106606 -0.4208833 0.47851563
-0.010603067 0.18194318 0.48828125
-0.010864289 -0.17873943 0.49804688
-0.010764198 -0.37387013 0.5078125
-0.010501236 -0.87752938 0.51757813
-0.010745192 -0.21070242 0.52734375
-0.011230065 0.16927719 0.53710938
-0.011537873 0.442788 0.546875
-0.012269213 0.14610589 0.55664063
-0.012731002 -0.32246113 0.56640625
-0.012206225 -0.5979836 0.57617188
-0.012664096 -0.11920929 0.5859375
-0.012900041 1.5071034 0.59570313
-0.013215642 0.087991357 0.60546875
-0.012999538 0.36768615 0.61523438
-0.014484943 0.27216971 0.625
-0.013834069 0.40911138 0.63476563
-0.013833716 -0.25644898 0.64453125
-0.013868309 0.72307885 0.65429688
-0.014902501 -0.17128885 0.6640625
-0.014615375 0.33691525 0.67382813
-0.014737752 0.35479665 0.68359375
-0.014730287 -0.5608052 0.69335938
-0.015543549 -0.89876354 0.703125
-0.015797408 0.20295382 0.71289063
-0.015528185 0.27775764 0.72265625
-0.015659399 0.10684133 0.73242188
-0.01598819 -0.18343329 0.7421875
-0.016643627 -0.15415251 0.75195313
-0.016867582 -0.27112663 0.76171875
-0.017482163 -0.73686242 0.77148438
-0.017028423 0.42289495 0.78125
-0.016787266 0.2823025 0.79101563
-0.016914144 -0.041797757 0.80078125
-0.017601164 -0.39801002 0.81054688
-0.017731702 0.51468611 0.8203125
-0.018099383 -0.79154968 0.83007813
-0.018113479 0.96425414 0.83984375
-0.018808411 -0.9406358 0.84960938
-0.018736165 0.48689544 0.859375
-0.01899376 0.27216971 0.86914063
-0.019333746 0.41000545 0.87890625
-0.019448865 -0.89637935 0.88867188
-0.019516448 -0.69379807 0.8984375
-0.019314669 -0.28252602 0.90820313
-0.019039242 -0.07160008 0.91796875
-0.020536663 -0.22150576 0.92773438
-0.020868132 -0.7032603 0.9375
-0.021038169 -0.62696636 0.94726563
-0.021050194 -1.2159348 0.95703125
-0.020978577 -0.64879656 0.96679688
