MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.010742 s         5/23/2023 2:52:32 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.0002110199 0.42669475 0.01953125
0.0001703021 4.3378024 0.029296875
0.0012527563 0.015199184 0.0390625
0.0006135471 1.6067922 0.048828125
3.4480599e-05 2.1870434 0.05859375
-0.0001844575 0.72173774 0.068359375
0.00050294399 -0.33065677 0.078125
-0.00072428823 0.96961856 0.087890625
-0.0017510247 2.578944 0.09765625
-0.00126645 3.9503722 0.10742188
-0.0016714623 0.26784837 0.1171875
-0.0023809508 2.2288413 0.12695313
-0.002534339 2.1024795 0.13671875
-0.0020762195 1.4419109 0.14648438
-0.0011474275 2.771467 0.15625
-0.00096158357 1.9123405 0.16601563
-0.0033506709 -0.49225986 0.17578125
-0.0035162345 1.4068931 0.18554688
-0.0017188301 2.1277368 0.1953125
-0.0034240379 0.53100288 0.20507813
-0.0027006331 -1.3120472 0.21484375
-0.0034979223 2.7507544 0.22460938
-0.0034448646 2.9915571 0.234375
-0.0028187158 2.1708755 0.24414063
-0.0034996846 1.7364323 0.25390625
-0.002302866 0.51014125 0.26367188
-0.0041309395 1.0115653 0.2734375
-0.004606274 3.2872705 0.28320313
-0.0046022362 3.1814723 0.29296875
-0.0053130835 1.4643371 0.30273438
-0.0061336993 1.7356873 0.3125
-0.0051455712 0.40978193 0.32226563
-0.0057733688 1.4378875 0.33203125
-0.006064882 0.26486814 0.34179688
-0.0059680743 1.9976497 0.3515625
-0.0075064846 3.4325571 0.36132813
-0.0071812472 0.64477324 0.37109375
-0.0074465103 2.9447675 0.38085938
-0.0083134491 2.8468668 0.390625
-0.0072827884 0.096559525 0.40039063
-0.0072915144 0.10661781 0.41015625
-0.0063916529 5.3150206 0.41992188
-0.0071248128 0.29742718 0.4296875
-0.0086491806 0.78529119 0.43945313
-0.0087355403 0.86411834 0.44921875
-0.0085779531 0.7763505 0.45898438
-0.0088575603 2.8064847 0.46875
-0.0086315209 0.98310411 0.47851563
-0.0094319554 3.3607335 0.48828125
-0.010340711 2.1207333 0.49804688
-0.011213331 -0.27574599 0.5078125
-0.010401472 -1.0699779 0.51757813
-0.010825175 -0.25175512 0.52734375
-0.01162613 0.28386712 0.53710938
-0.011553084 -0.39078295 0.546875
-0.011966936 1.1180341 0.55664063
-0.011042557 1.6450882 0.56640625
-0.012939998 0.1758337 0.57617188
-0.011894696 -0.31977892 0.5859375
-0.012911654 2.5876613 0.59570313
-0.012551052 2.9858203 0.60546875
-0.012540662 2.3591518 0.61523438
-0.013299468 0.94041228 0.625
-0.013105069 2.9115379 0.63476563
-0.012353883 3.6724658 0.64453125
-0.013713645 2.6153028 0.65429688
-0.013418886 -1.630038 0.6640625
-0.013245873 -0.77433884 0.67382813
-0.013768259 -0.73313713 0.68359375
-0.013329208 -0.48488379 0.69335938
-0.013782874 3.0774622 0.703125
-0.014012026 0.47415495 0.71289063
-0.014642233 -3.0037761 0.72265625
-0.014995013 0.52399933 0.73242188
-0.014515951 3.3961983 0.7421875
-0.015724612 -1.7835945 0.75195313
-0.01525304 -0.67606568 0.76171875
-0.014869265 -1.5873462 0.77148438
-0.015692325 0.50231814 0.78125
-0.016922317 -1.7037988 0.79101563
-0.016311798 -1.7652661 0.80078125
-0.01648967 1.488626 0.81054688
-0.016979523 1.8648058 0.8203125
-0.01701973 0.48980117 0.83007813
-0.018524742 -1.6574562 0.83984375
-0.017429266 -0.37282705 0.84960938
-0.017923173 -1.4742464 0.859375
-0.017487854 2.6613474 0.86914063
-0.018852321 1.2705475 0.87890625
-0.019637944 -1.8033385 0.88867188
-0.018250685 0.61020255 0.8984375
-0.018264988 -0.24706125 0.90820313
-0.019290343 1.0807812 0.91796875
-0.020859415 4.1410327 0.92773438
-0.022491705 1.2800097 0.9375
-0.020637672 1.7952919 0.94726563
-0.021012725 -0.35576522 0.95703125
-0.021315996 2.3511052 0.96679688
-0.020941911 2.0248442 0.9765625
-0.020681597 -0.25577843 0.98632813
