MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         4/21/2023 10:37:25 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00081360276 0.8212775 0.01953125
0.00083592505 -0.49687922 0.029296875
0.00041578314 -2.5858731 0.0390625
0.00064846961 -1.8337369 0.048828125
0.00014205804 2.5124102 0.05859375
0.00044665675 4.8796835 0.068359375
0.00043410968 -1.1735409 0.078125
-0.0006790004 -0.3323704 0.087890625
-0.0016010273 2.9523671 0.09765625
0.00018544434 0.8738786 0.10742188
8.1119651e-05 -0.87432563 0.1171875
-0.0009792241 -2.5072694 0.12695313
-0.001748044 -1.0506064 0.13671875
-0.0030536768 -1.598224 0.14648438
-0.0026517417 0.17829239 0.15625
-0.0025578588 0.3914535 0.16601563
-0.0028105194 -0.24460256 0.17578125
-0.003687941 1.1184067 0.18554688
-0.0030870116 -0.54195523 0.1953125
-0.0025886002 0.30338764 0.20507813
-0.0035057548 1.7255545 0.21484375
-0.0037859988 -2.7394295 0.22460938
-0.0036169903 -3.2805653 0.234375
-0.0037250742 -1.3905019 0.24414063
-0.0053261863 0.094771385 0.25390625
-0.0056870854 -2.674088 0.26367188
-0.0059010177 -2.1594019 0.2734375
-0.0052656038 -0.68232417 0.28320313
-0.0049777799 -0.26792288 0.29296875
-0.0048063123 -2.0490587 0.30273438
-0.0046214852 -3.6974251 0.3125
-0.005572475 -1.5833974 0.32226563
-0.0066883289 -1.2025237 0.33203125
-0.0064286529 -0.030621886 0.34179688
-0.0070324377 -3.7845225 0.3515625
-0.0058195954 -2.1261721 0.36132813
-0.0061918325 -1.5308708 0.37109375
-0.0070648706 -2.0969658 0.38085938
-0.0075961864 0.63173473 0.390625
-0.0068854298 -2.433732 0.40039063
-0.0070310081 -2.3782253 0.41015625
-0.007830712 -0.67010522 0.41992188
-0.0081713358 1.9189715 0.4296875
-0.0088322656 -0.49181283 0.43945313
-0.0082044117 0.6108731 0.44921875
-0.0084402487 -3.0813365 0.45898438
-0.0085184174 -0.93281269 0.46875
-0.0088473493 -0.6762892 0.47851563
-0.010050356 0.065416098 0.48828125
-0.0099070063 -0.17523766 0.49804688
-0.0093937702 -2.2324176 0.5078125
-0.011097052 -2.253726 0.51757813
-0.010608295 -0.7379055 0.52734375
-0.0095901899 -0.47460198 0.53710938
-0.010643429 -2.1895766 0.546875
-0.01142276 -2.4851413 0.55664063
-0.011688148 0.46536326 0.56640625
-0.012318489 -1.282692 0.57617188
-0.012228267 -1.1640787 0.5859375
-0.01250925 -2.3327768 0.59570313
-0.012559148 0.84638596 0.60546875
-0.013342316 1.9600242 0.61523438
-0.013377101 0.99502504 0.625
-0.012734206 -0.15102327 0.63476563
-0.012770986 -1.3805181 0.64453125
-0.011875202 -0.92685223 0.65429688
-0.012793568 -0.097006559 0.6640625
-0.013972513 2.9737501 0.67382813
-0.013728694 2.2120028 0.68359375
-0.013563843 -3.7663431 0.69335938
-0.015485646 -2.1269174 0.703125
-0.014915198 -1.0529906 0.71289063
-0.015993213 -1.9139796 0.72265625
-0.01543849 -1.1520088 0.73242188
-0.015609877 -0.68716705 0.7421875
-0.014686447 -1.1365861 0.75195313
-0.015257124 0.19028783 0.76171875
-0.014910576 -2.310276 0.77148438
-0.01604761 0.56378543 0.78125
-0.015840892 0.11533499 0.79101563
-0.016559724 0.77225268 0.80078125
-0.017717255 -3.9490314 0.81054688
-0.017878033 -2.68206 0.8203125
-0.017762197 -0.75124204 0.83007813
-0.017961323 0.67010522 0.83984375
-0.017668117 0.3118813 0.84960938
-0.016206397 -1.7159432 0.859375
-0.01751695 -0.47393143 0.86914063
-0.017871832 0.16652048 0.87890625
-0.019409964 0.035762787 0.88867188
-0.018271402 -1.5741587 0.8984375
-0.01916633 -1.0997057 0.90820313
-0.020242484 -2.1117182 0.91796875
-0.020617004 0.95754862 0.92773438
-0.02013321 -1.4855713 0.9375
-0.018847553 -2.2351742 0.94726563
-0.019732518 -2.9487908 0.95703125
-0.020565677 -0.64656138 0.96679688
