MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.079102 s         4/24/2023 1:29:27 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00029850894 0.18388033 0.086914063
-0.0001023911 0.62704086 0.096679688
0.00014975178 -0.79810619 0.10644531
-6.6184373e-05 -0.48480928 0.11621094
0.00018696526 -0.3580004 0.12597656
-0.0002699563 0.21077693 0.13574219
-0.00054301508 0.10676682 0.14550781
-0.0012428422 0.29563904 0.15527344
-0.0012522944 -0.45835972 0.16503906
-0.001354427 0.64946711 0.17480469
-0.0012608909 0.72143972 0.18457031
-0.0018846283 0.072568655 0.19433594
-0.0024341878 0.18596649 0.20410156
-0.0023433231 2.4498999 0.21386719
-0.0027137676 0.94011426 0.22363281
-0.00260436 1.4124811 0.23339844
-0.0021356796 0.56028366 0.24316406
-0.0024231274 0.60930848 0.25292969
-0.0033557932 0.15608966 0.26269531
-0.0031742007 0.80354512 0.27246094
-0.0037249972 0.3516674 0.28222656
-0.0038739131 -0.25041401 0.29199219
-0.0033189328 0.35852194 0.30175781
-0.0047744778 -1.0555983 0.31152344
-0.0048763426 -0.52563846 0.32128906
-0.004867469 0.00022351742 0.33105469
-0.0045136474 0.22217631 0.34082031
-0.0048070722 -0.77329576 0.35058594
-0.0051199482 -0.04440546 0.36035156
-0.0058116307 -0.76256692 0.37011719
-0.0055808234 -0.37536025 0.37988281
-0.0059651323 -0.79713762 0.38964844
-0.0058371387 0.44584274 0.39941406
-0.0062769423 -0.93713403 0.40917969
-0.0067043826 0.11146069 0.41894531
-0.0071405377 -0.66153705 0.42871094
-0.0067386767 0.14290214 0.43847656
-0.007228367 -0.9214133 0.44824219
-0.0077198618 -0.20317733 0.45800781
-0.0082184905 0.73984265 0.46777344
-0.0086966641 0.32380223 0.47753906
-0.0088179233 -0.06236136 0.48730469
-0.0088215452 -0.56311488 0.49707031
-0.0086970935 -0.99629164 0.50683594
-0.009816817 -0.90777874 0.51660156
-0.0094100367 -0.6493181 0.52636719
-0.0094078481 0.33229589 0.53613281
-0.0097532021 -0.79087913 0.54589844
-0.010506578 -0.41820109 0.55566406
-0.010006617 0.033602118 0.56542969
-0.011197396 -0.23566186 0.57519531
-0.010563775 0.83826482 0.58496094
-0.011245446 0.21755695 0.59472656
-0.011678956 0.59299171 0.60449219
-0.011294759 -1.0622293 0.61425781
-0.011362688 -0.68351626 0.62402344
-0.011498007 0.49762428 0.63378906
-0.011879856 0.87492168 0.64355469
-0.012143613 0.63858926 0.65332031
-0.012556066 -0.20265579 0.66308594
-0.013265717 -0.026971102 0.67285156
-0.01346547 0.69350004 0.68261719
-0.013629816 -0.61705709 0.69238281
-0.014219954 -0.69111586 0.70214844
-0.013130346 0.12025237 0.71191406
-0.013188449 0.26710331 0.72167969
-0.014134066 0.79572201 0.73144531
-0.014390519 -0.29817224 0.74121094
-0.014315378 -0.11943281 0.75097656
-0.014464094 0.053718686 0.76074219
-0.015093891 -0.31903386 0.77050781
-0.013972899 -1.0216981 0.78027344
-0.014984423 0.43489039 0.79003906
-0.015835462 -0.16227365 0.79980469
-0.015869522 0.47937036 0.80957031
-0.015302861 -1.5430152 0.81933594
-0.015988722 -0.41648746 0.82910156
-0.016245559 -0.58121979 0.83886719
-0.016213465 -0.10251999 0.84863281
-0.016176201 0.24423003 0.85839844
-0.017071577 -1.1147559 0.86816406
-0.017725216 -0.73932111 0.87792969
-0.018243048 -0.47042966 0.88769531
-0.018212162 -0.63844025 0.89746094
-0.019281978 -0.96701086 0.90722656
-0.018779526 -0.22143126 0.91699219
-0.018539801 -0.3361702 0.92675781
-0.01888245 0.34891069 0.93652344
-0.018894969 -0.077709556 0.94628906
-0.019272678 -0.082328916 0.95605469
-0.019800453 0.47005713 0.96582031
-0.019738585 -0.36589801 0.97558594
-0.02052366 -0.86724758 0.98535156
-0.020493139 0.2040714 0.99511719
-0.019670201 -0.25868416 1.0048828
-0.020618536 -1.1089444 1.0146484
-0.020801319 -0.00074505806 1.0244141
-0.02097423 0.23983419 1.0341797
