MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.010742 s         4/24/2023 1:47:57 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00044266717 1.3168156 0.01953125
0.0001218118 0.17240644 0.029296875
0.00035331817 0.65736473 0.0390625
-0.00013724244 0.2913177 0.048828125
-1.9375235e-05 1.4276803 0.05859375
0.00018673051 0.94719231 0.068359375
0.00036058083 0.74796379 0.078125
-0.00026923144 0.051409006 0.087890625
-0.0007324756 0.3606081 0.09765625
-0.0014250962 0.70087612 0.10742188
-0.0012112084 0.090077519 0.1171875
-0.0010990038 0.67993999 0.12695313
-0.0013230549 0.46387315 0.13671875
-0.0020240746 0.46946108 0.14648438
-0.0025292656 -0.038817525 0.15625
-0.0027646816 0.10542572 0.16601563
-0.0028086808 -0.28036535 0.17578125
-0.0022937008 0.59992075 0.18554688
-0.0032698866 -0.0098347664 0.1953125
-0.0032137942 0.102669 0.20507813
-0.0035263703 0.19297004 0.21484375
-0.0034265253 0.64916909 0.22460938
-0.0039837351 0.65200031 0.234375
-0.0039898232 1.2937188 0.24414063
-0.0042327521 0.6724149 0.25390625
-0.0046133366 1.5452504 0.26367188
-0.004841899 0.83252788 0.2734375
-0.0048676608 0.37670135 0.28320313
-0.0053893505 0.68753958 0.29296875
-0.005381241 0.78886747 0.30273438
-0.0054911161 0.58956444 0.3125
-0.0053269654 0.9983778 0.32226563
-0.005534037 1.0479242 0.33203125
-0.0059225014 1.5044212 0.34179688
-0.0072828429 0.60878694 0.3515625
-0.0070890952 0.58189034 0.36132813
-0.0067551257 1.1181086 0.37109375
-0.0066585531 0.59261918 0.38085938
-0.0071966611 0.84795058 0.390625
-0.006925921 0.4119426 0.40039063
-0.0083101522 -0.31016767 0.41015625
-0.0080251256 -0.99554658 0.41992188
-0.0080361729 0.21398067 0.4296875
-0.008486595 0.58613718 0.43945313
-0.0086329468 0.76517463 0.44921875
-0.0094260117 0.34756958 0.45898438
-0.0095439656 -0.018775463 0.46875
-0.0098221395 0.35949051 0.47851563
-0.0099112783 0.39704144 0.48828125
-0.0094956644 1.1603534 0.49804688
-0.0097886967 1.1850148 0.5078125
-0.01051949 0.68366528 0.51757813
-0.010936007 0.3695488 0.52734375
-0.010665744 0.48436224 0.53710938
-0.011170461 0.68217516 0.546875
-0.011166568 0.95911324 0.55664063
-0.011205637 0.4068017 0.56640625
-0.011319632 0.67651272 0.57617188
-0.010722877 0.40248036 0.5859375
-0.012049817 0.22977591 0.59570313
-0.012443771 0.11540949 0.60546875
-0.012214973 -0.088140368 0.61523438
-0.012355313 0.3683567 0.625
-0.012983194 0.63218176 0.63476563
-0.013799813 0.44442713 0.64453125
-0.013074082 0.38705766 0.65429688
-0.013343386 -0.07301569 0.6640625
-0.014363714 0.09149313 0.67382813
-0.014344838 0.192523 0.68359375
-0.013916477 0.89973211 0.69335938
-0.014273508 0.73283911 0.703125
-0.014428655 0.89071691 0.71289063
-0.014860062 0.85301697 0.72265625
-0.015373942 0.45321882 0.73242188
-0.015914312 0.61370432 0.7421875
-0.015709126 1.0486692 0.75195313
-0.015857996 1.424402 0.76171875
-0.015946077 -0.13209879 0.77148438
-0.015921075 0.80488622 0.78125
-0.016895788 0.88341534 0.79101563
-0.017434919 0.51118433 0.80078125
-0.016701797 0.32640994 0.81054688
-0.016418701 0.83200634 0.8203125
-0.017785164 0.622347 0.83007813
-0.017654186 0.66004694 0.83984375
-0.018170562 0.59999526 0.84960938
-0.017610863 0.80101192 0.859375
-0.018347682 0.54702163 0.86914063
-0.018966554 0.60535967 0.87890625
-0.018974295 0.51476061 0.88867188
-0.019221237 0.70124865 0.8984375
-0.018529451 0.4991889 0.90820313
-0.019226847 0.14401972 0.91796875
-0.019797698 1.0243058 0.92773438
-0.01965001 0.91098249 0.9375
-0.02026118 0.85622072 0.94726563
-0.020695109 0.93430281 0.95703125
-0.020567259 0.54433942 0.96679688
-0.0213781 0.28543174 0.9765625
-0.021659376 1.276508 0.98632813
-0.021459745 1.1429191 0.99609375
