MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.011719 s         5/23/2023 1:48:29 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00037986969 -0.21621585 0.01953125
-3.6801386e-05 0.91582537 0.029296875
-0.00029057084 0.013709068 0.0390625
-0.00039885336 0.52586198 0.048828125
0.00013711763 -0.20585954 0.05859375
-0.00095358928 0.36403537 0.068359375
-0.00081823725 -0.37707388 0.078125
-0.00076543022 0.40479004 0.087890625
-0.00075793674 0.069737434 0.09765625
-0.0012155822 0.46633184 0.10742188
-0.001988118 -0.032633543 0.1171875
-0.0016189306 0.11913478 0.12695313
-0.0015648548 0.063106418 0.13671875
-0.0020135855 0.57898462 0.14648438
-0.0024938157 0.3696233 0.15625
-0.00284004 0.1706928 0.16601563
-0.003143766 0.40717423 0.17578125
-0.0031992423 -0.10356307 0.18554688
-0.0033851685 -0.04068017 0.1953125
-0.0035111422 0.060796738 0.20507813
-0.0038264131 0.5980581 0.21484375
-0.0036266122 0.23677945 0.22460938
-0.004549175 0.57920814 0.234375
-0.0046362812 -0.44487417 0.24414063
-0.0042602695 0.41745603 0.25390625
-0.0054706857 0.15243888 0.26367188
-0.0045617153 0.038594007 0.2734375
-0.0051019853 0.066682696 0.28320313
-0.0051581101 0.67830086 0.29296875
-0.0055343253 0.21517277 0.30273438
-0.0056122718 -0.26442111 0.3125
-0.0058038463 -0.0089406967 0.32226563
-0.0057149637 0.32201409 0.33203125
-0.006888614 0.20138919 0.34179688
-0.0067253634 0.57347119 0.3515625
-0.0061666192 0.31732023 0.36132813
-0.0074727745 -0.2848357 0.37109375
-0.007814276 0.33088028 0.38085938
-0.0080510592 -0.022947788 0.390625
-0.0077258614 0.75556338 0.40039063
-0.0082021561 0.12174249 0.41015625
-0.007781073 0.64052641 0.41992188
-0.0080168322 0.31031668 0.4296875
-0.0086019831 -0.082328916 0.43945313
-0.0090758875 -0.049173832 0.44921875
-0.0093564223 0.37886202 0.45898438
-0.0094860522 0.37863851 0.46875
-0.0098642446 0.49293041 0.47851563
-0.009968183 -0.18984079 0.48828125
-0.010022472 0.14834106 0.49804688
-0.010441159 -0.25898218 0.5078125
-0.010759571 -0.01385808 0.51757813
-0.011139492 0.4414469 0.52734375
-0.010429688 0.55223703 0.53710938
-0.011375994 0.48071146 0.546875
-0.011880126 0.22798777 0.55664063
-0.011336784 0.14863908 0.56640625
-0.011797753 -0.22269785 0.57617188
-0.012208773 0.069588423 0.5859375
-0.01258489 0.25436282 0.59570313
-0.012439035 0.78894198 0.60546875
-0.012902638 -0.16376376 0.61523438
-0.013204072 0.037550926 0.625
-0.01308121 -0.36738813 0.63476563
-0.013498636 0.41022897 0.64453125
-0.013138375 -0.20325184 0.65429688
-0.014033323 0.24475157 0.6640625
-0.014690368 0.39100647 0.67382813
-0.014515004 -0.2541393 0.68359375
-0.014361095 -0.22001565 0.69335938
-0.014861772 0.091791153 0.703125
-0.015204366 0.45254827 0.71289063
-0.015637346 0.49494207 0.72265625
-0.015422205 0.27559698 0.73242188
-0.016144253 0.13753772 0.7421875
-0.016047355 0.17724931 0.75195313
-0.016556229 -0.31448901 0.76171875
-0.01585599 0.035837293 0.77148438
-0.016925829 -0.12464821 0.78125
-0.016413752 0.63419342 0.79101563
-0.017227771 0.31232834 0.80078125
-0.016791156 0.13522804 0.81054688
-0.017268853 -0.2117455 0.8203125
-0.017521268 0.6686151 0.83007813
-0.017669944 0.20071864 0.83984375
-0.018386131 0.3888458 0.84960938
-0.017748922 0.39100647 0.859375
-0.018320406 0.38355589 0.86914063
-0.018906223 -0.2951175 0.87890625
-0.019121742 0.16644597 0.88867188
-0.019393105 0.57891011 0.8984375
-0.019681172 0.14491379 0.90820313
-0.020136008 0.46811998 0.91796875
-0.020138172 0.39838254 0.92773438
-0.020706145 -0.097900629 0.9375
-0.021220148 -0.17657876 0.94726563
-0.021558566 0.30919909 0.95703125
-0.021266336 0.61616302 0.96679688
-0.021048864 0.5671382 0.9765625
-0.021148849 0.29571354 0.98632813
