MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.015625 s         4/24/2023 9:44:25 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00040263814 0.24065375 0.022460938
-0.00021655779 0.20779669 0.032226563
-0.00012406825 0.36999583 0.041992188
8.5879445e-05 0.56579709 0.051757813
-0.00017768791 0.76882541 0.061523438
-0.00040361582 0.27023256 0.071289063
-0.00032441941 0.25525689 0.081054688
-0.0012812597 0.089481473 0.090820313
-0.0010353682 0.36515296 0.10058594
-0.0015580392 0.19155443 0.11035156
-0.0014316945 0.67859888 0.12011719
-0.0017912254 0.24586916 0.12988281
-0.0021896148 0.37185848 0.13964844
-0.0017530062 -0.050440431 0.14941406
-0.0021568525 0.28163195 0.15917969
-0.0031990407 0.3349781 0.16894531
-0.0028101634 0.83252788 0.17871094
-0.0027430481 0.46059489 0.18847656
-0.0031275612 0.3528595 0.19824219
-0.0036998463 0.33766031 0.20800781
-0.0039065499 0.10311604 0.21777344
-0.0041223839 0.52310526 0.22753906
-0.0046961079 0.37170947 0.23730469
-0.0047822143 0.56430697 0.24707031
-0.0048092497 0.35464764 0.25683594
-0.0042604865 0.3246218 0.26660156
-0.0050689992 0.079199672 0.27636719
-0.0059173252 0.27298927 0.28613281
-0.0048770984 0.63993037 0.29589844
-0.0062945904 0.75653195 0.30566406
-0.0061852871 0.12725592 0.31542969
-0.0060478486 0.67040324 0.32519531
-0.0060185944 0.15735626 0.33496094
-0.0066871881 0.44502318 0.34472656
-0.0074190232 0.18849969 0.35449219
-0.0067285402 0.75243413 0.36425781
-0.0066654575 0.40099025 0.37402344
-0.0076161739 0.38482249 0.38378906
-0.0076051336 -0.079199672 0.39355469
-0.0081044026 0.39070845 0.40332031
-0.0082443859 0.17844141 0.41308594
-0.0084952731 0.65527856 0.42285156
-0.0081743319 0.3887713 0.43261719
-0.0091604339 0.43995678 0.44238281
-0.0085051553 0.38832426 0.45214844
-0.0097313821 0.16823411 0.46191406
-0.0096308859 0.30837953 0.47167969
-0.0099024354 0.44770539 0.48144531
-0.010028386 0.71369112 0.49121094
-0.010357567 0.59068203 0.50097656
-0.010814882 0.48145652 0.51074219
-0.011109259 0.1065433 0.52050781
-0.011514452 0.506863 0.53027344
-0.0112197 0.17546117 0.54003906
-0.011307768 0.73969364 0.54980469
-0.011557013 0.27172267 0.55957031
-0.012273665 0.73000789 0.56933594
-0.012370796 0.076144934 0.57910156
-0.012085052 0.29213727 0.58886719
-0.012391169 0.099986792 0.59863281
-0.012674756 0.65587461 0.60839844
-0.012494908 0.46104193 0.61816406
-0.013488832 0.61064959 0.62792969
-0.01353081 0.2451241 0.63769531
-0.014021927 0.31359494 0.64746094
-0.013856499 0.19542873 0.65722656
-0.013699963 0.39599836 0.66699219
-0.014145088 0.57995319 0.67675781
-0.014777688 0.41782856 0.68652344
-0.014438974 0.51558018 0.69628906
-0.014920156 0.18909574 0.70605469
-0.015393662 0.3170222 0.71582031
-0.015078642 0.30644238 0.72558594
-0.015715467 0.68075955 0.73535156
-0.016368803 0.49374998 0.74511719
-0.015634729 0.59083104 0.75488281
-0.016270028 0.15169382 0.76464844
-0.016405948 0.37580729 0.77441406
-0.016598823 0.19237399 0.78417969
-0.016746253 0.54322183 0.79394531
-0.016858451 0.47579408 0.80371094
-0.017601268 0.55551529 0.81347656
-0.016963175 0.32916665 0.82324219
-0.017802991 0.070035458 0.83300781
-0.017672995 0.27865171 0.84277344
-0.018425846 0.21420419 0.85253906
-0.018654544 0.5082041 0.86230469
-0.019196255 0.68448484 0.87207031
-0.018945782 0.25995076 0.88183594
-0.018929943 0.19133091 0.89160156
-0.01928973 0.36299229 0.90136719
-0.019475851 0.18969178 0.91113281
-0.020436969 0.71637332 0.92089844
-0.020269042 0.35665929 0.93066406
-0.02068066 0.77500939 0.94042969
-0.020702872 0.15459955 0.95019531
-0.021053979 0.36589801 0.95996094
-0.021465579 0.023469329 0.96972656
-0.021452911 0.55395067 0.97949219
-0.021549243 0.3310293 0.98925781
