MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         5/23/2023 2:38:52 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.0004410258 -0.97200274 0.01953125
0.00029406245 0.58196485 0.029296875
0.00023037396 -0.90241432 0.0390625
0.00046211563 -0.64946711 0.048828125
0.00094338402 0.55372715 0.05859375
0.00054110528 -1.7972291 0.068359375
-0.0010820132 -1.0050833 0.078125
-0.0008819651 -1.0056049 0.087890625
-0.0020562103 -2.5348365 0.09765625
-0.0028420039 -4.3083725 0.10742188
-0.0033986585 0.90032816 0.1171875
-0.0031117939 0.84221363 0.12695313
-0.0016969354 -0.44085085 0.13671875
-0.0028527253 -1.5053153 0.14648438
-0.003516213 -1.2435019 0.15625
-0.0021593233 -0.69342554 0.16601563
-0.0026161699 -1.3599545 0.17578125
-0.0033405689 0.41291118 0.18554688
-0.002250117 1.9780546 0.1953125
-0.0019543797 -1.1143088 0.20507813
-0.0029025935 -3.0961633 0.21484375
-0.0038108297 -0.19319355 0.22460938
-0.0035251989 -0.85055828 0.234375
-0.0035423706 -1.3674051 0.24414063
-0.0040998557 -2.6363878 0.25390625
-0.0040989411 0.054836273 0.26367188
-0.0048635523 -1.6287714 0.2734375
-0.0053601703 -0.11228025 0.28320313
-0.0048178798 1.6257912 0.29296875
-0.0044799643 -1.1442602 0.30273438
-0.0059799454 -0.17464161 0.3125
-0.0056116837 -0.17210841 0.32226563
-0.0065276502 1.2750924 0.33203125
-0.0065663406 -0.45485795 0.34179688
-0.0059777461 -0.18462539 0.3515625
-0.006171694 -0.0023841858 0.36132813
-0.0058635268 0.84646046 0.37109375
-0.006319413 0.46059489 0.38085938
-0.0093439482 2.2041054 0.390625
-0.0087031638 -1.2347102 0.40039063
-0.0081738727 -2.3117661 0.41015625
-0.0088859899 0.70229173 0.41992188
-0.010455761 3.1141937 0.4296875
-0.009074281 0.21725893 0.43945313
-0.0085542286 -1.116991 0.44921875
-0.008909326 -0.025182962 0.45898438
-0.010277973 0.8983165 0.46875
-0.010503105 -0.14059246 0.47851563
-0.0089219641 -2.8247385 0.48828125
-0.010232602 -1.3730675 0.49804688
-0.0099320738 0.47460198 0.5078125
-0.010145055 -0.86791813 0.51757813
-0.012051615 -3.7926435 0.52734375
-0.012088872 0.30018389 0.53710938
-0.01182627 -0.7866323 0.546875
-0.012524853 -1.4837086 0.55664063
-0.012112251 -4.4445696 0.56640625
-0.011775524 -1.0630488 0.57617188
-0.011717811 -1.3727695 0.5859375
-0.011748533 -1.5396625 0.59570313
-0.012981746 -2.0083785 0.60546875
-0.012364024 -2.9741974 0.61523438
-0.015215192 -4.6958027 0.625
-0.014606426 -3.2269955 0.63476563
-0.014124971 0.71503222 0.64453125
-0.014953647 -1.3577938 0.65429688
-0.01394961 -4.3066592 0.6640625
-0.013963787 -2.8777122 0.67382813
-0.014640672 -1.7088652 0.68359375
-0.01474918 0.18060207 0.69335938
-0.01433329 0.22388995 0.703125
-0.014582183 -0.45411289 0.71289063
-0.016778847 0.10594726 0.72265625
-0.016646588 0.30264258 0.73242188
-0.016538477 -0.15422702 0.7421875
-0.01656431 -0.30778348 0.75195313
-0.015647069 -2.1979213 0.76171875
-0.015963266 -1.661554 0.77148438
-0.016847217 -3.0811877 0.78125
-0.015751442 -0.78499317 0.79101563
-0.017164288 -3.1369181 0.80078125
-0.018246489 -1.9676238 0.81054688
-0.018528618 -0.8649379 0.8203125
-0.017993813 -1.2014061 0.83007813
-0.017409649 -2.3065507 0.83984375
-0.017689837 -1.0539591 0.84960938
-0.018609717 -2.6875734 0.859375
-0.018532155 -2.5350599 0.86914063
-0.019614415 -4.9678984 0.87890625
-0.018569836 -0.16510487 0.88867188
-0.018060744 -0.098720193 0.8984375
-0.019151971 -0.13411045 0.90820313
-0.01899473 -3.1796098 0.91796875
-0.019467231 -2.882555 0.92773438
-0.01896116 -1.3196468 0.9375
-0.020787673 1.5781075 0.94726563
-0.020834297 -1.9459426 0.95703125
-0.021965947 -1.8524379 0.96679688
