MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.010742 s         4/21/2023 10:20:24 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-3.4276098e-05 2.2462754 0.01953125
9.6028554e-05 -0.2501905 0.029296875
0.00060424075 1.468882 0.0390625
-0.00011346432 2.1553783 0.048828125
-0.0015042032 2.2727995 0.05859375
-0.0013445532 1.3065338 0.068359375
-0.00057637243 1.7584115 0.078125
-0.0016884971 1.7251074 0.087890625
-0.001017649 0.34250319 0.09765625
-0.0022331898 -0.3310293 0.10742188
-0.001010748 0.95896423 0.1171875
-0.0017230309 1.5430897 0.12695313
-0.00097325421 1.7639995 0.13671875
-0.0027828785 0.50865114 0.14648438
-0.00349175 1.9039959 0.15625
-0.003985608 2.1594763 0.16601563
-0.0060208566 1.7150491 0.17578125
-0.0048005087 -0.75809658 0.18554688
-0.004387307 1.013428 0.1953125
-0.004528014 0.27418137 0.20507813
-0.0039299252 0.87335706 0.21484375
-0.0040114243 0.27045608 0.22460938
-0.0036913573 -1.1573732 0.234375
-0.0056059361 -1.4384091 0.24414063
-0.0058597629 0.5415827 0.25390625
-0.0054228343 0.82500279 0.26367188
-0.005909971 -1.3333559 0.2734375
-0.0060293134 1.7635524 0.28320313
-0.0052468744 0.52183867 0.29296875
-0.005536898 -1.411885 0.30273438
-0.0066046747 -1.7557293 0.3125
-0.0059753372 1.8168241 0.32226563
-0.0062597864 0.80928206 0.33203125
-0.0059921141 0.76889992 0.34179688
-0.0080891903 2.5963039 0.3515625
-0.008585182 3.336668 0.36132813
-0.0089493655 1.2101978 0.37109375
-0.0092699975 0.51215291 0.38085938
-0.0091066491 2.9759109 0.390625
-0.008795375 1.1108071 0.40039063
-0.009657993 1.2947619 0.41015625
-0.0093645481 -0.24631619 0.41992188
-0.0093457401 1.5492737 0.4296875
-0.0094502075 -0.7725507 0.43945313
-0.0099613182 -0.90673566 0.44921875
-0.010384287 1.5290082 0.45898438
-0.010915731 2.3100524 0.46875
-0.010968162 -0.9381026 0.47851563
-0.010693376 -1.0192394 0.48828125
-0.010976517 1.674369 0.49804688
-0.010926091 1.6321987 0.5078125
-0.011172817 -1.4932454 0.51757813
-0.012228165 0.62488019 0.52734375
-0.011528214 2.1683426 0.53710938
-0.011376567 -0.46014786 0.546875
-0.011358962 -0.65162778 0.55664063
-0.013042714 3.4448504 0.56640625
-0.012545984 3.002584 0.57617188
-0.013824651 -0.9804219 0.5859375
-0.012489726 -0.41551888 0.59570313
-0.012891512 0.75913966 0.60546875
-0.013560594 3.3460557 0.61523438
-0.012877991 0.4325062 0.625
-0.013206464 -0.026226044 0.63476563
-0.014643745 1.4895201 0.64453125
-0.015738443 0.9072572 0.65429688
-0.01542675 0.16398728 0.6640625
-0.014940738 -1.8868595 0.67382813
-0.0148529 -0.021755695 0.68359375
-0.015080749 1.9517541 0.69335938
-0.014317439 -1.3037771 0.703125
-0.01511691 1.4358014 0.71289063
-0.015812993 -0.26091933 0.72265625
-0.01580576 1.7166883 0.73242188
-0.016150074 0.1693517 0.7421875
-0.015871199 0.55372715 0.75195313
-0.01580398 2.3298712 0.76171875
-0.016576797 -0.38534403 0.77148438
-0.016758334 1.2078881 0.78125
-0.017040711 -0.96738338 0.79101563
-0.017331779 0.12554228 0.80078125
-0.018114563 1.822114 0.81054688
-0.017973097 0.86255372 0.8203125
-0.017776184 2.1601467 0.83007813
-0.018143099 2.6538224 0.83984375
-0.017838703 1.6162544 0.84960938
-0.018355114 0.51699579 0.859375
-0.019477114 -1.9145757 0.86914063
-0.019439269 3.1267853 0.87890625
-0.02004599 1.5235692 0.88867188
-0.01923562 0.61102211 0.8984375
-0.020765683 -1.1651963 0.90820313
-0.021727776 0.30331314 0.91796875
-0.02171761 2.3292005 0.92773438
-0.021763604 3.5957992 0.9375
-0.021192778 0.46558678 0.94726563
-0.022555757 0.52824616 0.95703125
-0.022962822 -1.0370463 0.96679688
-0.022424776 -1.4059246 0.9765625
-0.022894461 -0.059008598 0.98632813
