MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.013672 s         4/24/2023 1:14:43 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
5.760137e-05 -1.7091632 0.020507813
-0.00058160792 -2.066344 0.030273438
-1.0218801e-05 -1.0609627 0.040039063
-0.00020190257 -0.43809414 0.049804688
0.00016411528 -0.65557659 0.059570313
-0.0013250605 -1.0298938 0.069335938
-0.00084298046 -1.2524426 0.079101563
-0.00089466741 -0.83707273 0.088867188
-0.0018722978 -0.77955425 0.098632813
-0.0022318324 -2.1097064 0.10839844
-0.0019846794 -2.1988897 0.11816406
-0.0022696992 -1.4156848 0.12792969
-0.002775776 -0.71562827 0.13769531
-0.0026761598 -2.1007657 0.14746094
-0.0028717795 -0.56758523 0.15722656
-0.0029899895 -0.93452632 0.16699219
-0.003169667 -1.0964274 0.17675781
-0.0034458768 -1.3763458 0.18652344
-0.0029937355 -2.0711124 0.19628906
-0.00352854 -1.7429888 0.20605469
-0.0039473916 -1.418367 0.21582031
-0.0040658265 -0.94585121 0.22558594
-0.0044479487 -1.0892004 0.23535156
-0.004976463 -2.5141983 0.24511719
-0.0054122391 -1.8592179 0.25488281
-0.006189175 -1.1961907 0.26464844
-0.0057998886 -1.2069196 0.27441406
-0.0061698258 -0.69089234 0.28417969
-0.0063235783 -1.7264485 0.29394531
-0.0062749246 -1.2605637 0.30371094
-0.0062227459 -2.7112663 0.31347656
-0.0060818312 -2.1709502 0.32324219
-0.0068592993 -0.8866936 0.33300781
-0.0066516879 -1.2395531 0.34277344
-0.0072811227 -1.9677728 0.35253906
-0.0069306088 -2.0159035 0.36230469
-0.0069540381 -1.6831607 0.37207031
-0.0081394315 -1.1818856 0.38183594
-0.0084706666 -1.0710955 0.39160156
-0.0082080252 -1.4799088 0.40136719
-0.0083568338 -2.0623951 0.41113281
-0.0092954887 -1.2793392 0.42089844
-0.0083796298 -0.66675246 0.43066406
-0.0086145187 -1.4665723 0.44042969
-0.0091844788 -0.98288059 0.45019531
-0.0095564323 -1.2619048 0.45996094
-0.010134216 -1.2020767 0.46972656
-0.010199884 -1.6455352 0.47949219
-0.010383977 -1.7847866 0.48925781
-0.010560573 -1.6310066 0.49902344
-0.011183761 -1.9044429 0.50878906
-0.011236006 -2.0410867 0.51855469
-0.01215702 -0.87581575 0.52832031
-0.012416737 0.016465783 0.53808594
-0.012340314 -0.67926943 0.54785156
-0.01218572 -2.1388383 0.55761719
-0.012657214 -2.4800003 0.56738281
-0.013176282 -2.4026632 0.57714844
-0.012428618 -0.9342283 0.58691406
-0.012872459 0.0012665987 0.59667969
-0.013250297 -1.000315 0.60644531
-0.013397692 -2.1086633 0.61621094
-0.013360482 -1.1656433 0.62597656
-0.013270151 -0.57056546 0.63574219
-0.014572805 -2.3745 0.64550781
-0.014544443 -1.8817931 0.65527344
-0.014856123 -1.8376112 0.66503906
-0.014623648 -1.4638156 0.67480469
-0.015487613 -1.623258 0.68457031
-0.015346587 -1.4822185 0.69433594
-0.015690835 -2.535358 0.70410156
-0.015574419 -2.4884195 0.71386719
-0.015100112 -1.8528849 0.72363281
-0.015132817 -1.3516098 0.73339844
-0.015643677 -1.0892004 0.74316406
-0.016034564 -2.4602561 0.75292969
-0.017083229 -2.5010853 0.76269531
-0.01712155 -2.8117001 0.77246094
-0.017072495 -1.9373 0.78222656
-0.017794624 -2.7085841 0.79199219
-0.017040266 -0.91254711 0.80175781
-0.017516213 -1.4808029 0.81152344
-0.017734604 -2.0751357 0.82128906
-0.017829426 -0.36545098 0.83105469
-0.018448459 -1.6533583 0.84082031
-0.018856073 -1.3729185 0.85058594
-0.018783018 -0.19185245 0.86035156
-0.019340858 -1.0582805 0.87011719
-0.019615306 -1.5839189 0.87988281
-0.019407574 -1.6304106 0.88964844
-0.019536501 -0.9535253 0.89941406
-0.019298198 -0.92975795 0.90917969
-0.02067863 -0.26039779 0.91894531
-0.020316252 -1.9590557 0.92871094
-0.020242671 -1.6406924 0.93847656
-0.020883197 -2.7403235 0.94824219
