MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         4/24/2023 2:55:58 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00026215019 -0.16398728 0.01953125
0.00039932167 0.4567951 0.029296875
0.00012722411 -0.5736202 0.0390625
-0.00078131462 -0.57183206 0.048828125
-0.00035785799 -0.39860606 0.05859375
-0.00025433884 -0.56438148 0.068359375
-0.0010932194 -0.046417117 0.078125
-0.00074481621 0.071153045 0.087890625
-0.0017670272 -0.30189753 0.09765625
-0.0014160395 -0.29630959 0.10742188
-0.0020287666 -0.13239682 0.1171875
-0.0019382222 -0.24050474 0.12695313
-0.0015842706 -0.72658062 0.13671875
-0.0023702171 0.5222857 0.14648438
-0.0016782815 -0.065341592 0.15625
-0.0027674388 0.17479062 0.16601563
-0.0028677748 -0.25361776 0.17578125
-0.0032449767 -0.80704689 0.18554688
-0.0028752964 -1.6162544 0.1953125
-0.0036485223 -1.5413016 0.20507813
-0.0035099227 -1.1303276 0.21484375
-0.003746964 -0.68977475 0.22460938
-0.0039604623 -1.5209615 0.234375
-0.0042421501 -1.4659017 0.24414063
-0.0057419571 -1.8822402 0.25390625
-0.0054745958 -2.3416429 0.26367188
-0.0054189898 -1.064688 0.2734375
-0.0053332602 -1.1250377 0.28320313
-0.0060060811 -1.2180954 0.29296875
-0.0056071812 -1.4397502 0.30273438
-0.0061593717 -1.4247745 0.3125
-0.0065137809 -1.8519908 0.32226563
-0.0060003959 -0.69312751 0.33203125
-0.0066861669 -1.2958795 0.34179688
-0.0071241325 -0.60580671 0.3515625
-0.0073912512 -1.1208653 0.36132813
-0.0080034817 -0.9894371 0.37109375
-0.008001186 -0.47415495 0.38085938
-0.0082650147 -0.64350665 0.390625
-0.0081695663 -0.7083267 0.40039063
-0.0086136982 -0.82433224 0.41015625
-0.0084245028 -0.85435808 0.41992188
-0.0088651283 -0.14513731 0.4296875
-0.0090522505 -0.049620867 0.43945313
-0.0094088279 -0.67815185 0.44921875
-0.0094005521 -1.5425682 0.45898438
-0.010298403 -0.42073429 0.46875
-0.010425712 0.9535253 0.47851563
-0.010458091 -0.27433038 0.48828125
-0.010470326 -1.0968745 0.49804688
-0.010425879 -1.4673918 0.5078125
-0.010754216 -0.43712556 0.51757813
-0.011548795 -1.3031811 0.52734375
-0.011377045 -1.0292977 0.53710938
-0.01152933 -1.2905896 0.546875
-0.011998671 -1.3249367 0.55664063
-0.012379883 -0.67993999 0.56640625
-0.012041713 -0.77493489 0.57617188
-0.012455003 -1.1528283 0.5859375
-0.012678943 -0.91440976 0.59570313
-0.012712548 -1.860857 0.60546875
-0.013714788 -0.81367791 0.61523438
-0.012937569 -0.63486397 0.625
-0.013682654 -1.5533715 0.63476563
-0.013500242 -0.23789704 0.64453125
-0.014061336 0.43861568 0.65429688
-0.014625588 0.057667494 0.6640625
-0.013264799 -0.17009676 0.67382813
-0.014686313 -0.86121261 0.68359375
-0.014451606 -1.4675409 0.69335938
-0.014837286 -0.063404441 0.703125
-0.015499271 -0.50261617 0.71289063
-0.015385315 -0.099688768 0.72265625
-0.015768005 0.056251884 0.73242188
-0.015574226 0.58628619 0.7421875
-0.01584656 -0.7493794 0.75195313
-0.016329961 -0.8019805 0.76171875
-0.016467741 -0.79497695 0.77148438
-0.016814036 -0.63657761 0.78125
-0.016915189 -0.60677528 0.79101563
-0.017102906 -0.30346215 0.80078125
-0.017360885 -0.46901405 0.81054688
-0.016759187 -0.88535249 0.8203125
-0.017849242 -1.6255677 0.83007813
-0.018838456 -0.17225742 0.83984375
-0.018206691 0.25726855 0.84960938
-0.018421233 -0.34399331 0.859375
-0.018553605 -1.4699996 0.86914063
-0.018869931 -1.3811886 0.87890625
-0.019409103 -0.616014 0.88867188
-0.019546907 -0.84839761 0.8984375
-0.019635176 -0.050514936 0.90820313
-0.020268142 -1.854226 0.91796875
-0.020403288 -0.46677887 0.92773438
-0.020614529 -0.52541494 0.9375
-0.021086734 -1.1374056 0.94726563
-0.020836558 -0.89816749 0.95703125
