MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.011719 s         4/24/2023 10:44:04 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00038369535 -0.19945204 0.01953125
-4.3750069e-06 0.013113022 0.029296875
0.00077051588 -0.28021634 0.0390625
-0.00012406902 0.352934 0.048828125
0.00016154753 -0.012665987 0.05859375
-0.00036025725 0.15005469 0.068359375
-3.4636454e-05 0.16920269 0.078125
-0.00074090308 0.0027567148 0.087890625
-0.0013821184 -0.077113509 0.09765625
-0.00087363314 -0.0050663948 0.10742188
-0.0014372295 0.50827861 0.1171875
-0.0015633763 0.1771003 0.12695313
-0.0024378786 0.14938414 0.13671875
-0.0019435749 0.0070780516 0.14648438
-0.0020856701 0.33535063 0.15625
-0.0023011761 -1.0987371 0.16601563
-0.0021755488 -0.66593289 0.17578125
-0.0025201889 -0.081285834 0.18554688
-0.0031862254 -0.28520823 0.1953125
-0.0030303155 -0.75682998 0.20507813
-0.0034497352 -0.198856 0.21484375
-0.0036896053 -0.65863132 0.22460938
-0.0032520136 0.31217933 0.234375
-0.0034725126 -0.40665269 0.24414063
-0.0037577273 -0.15929341 0.25390625
-0.0041359221 -0.56289136 0.26367188
-0.0041419254 -0.513345 0.2734375
-0.0036597513 -0.28699636 0.28320313
-0.0046403934 -0.22791326 0.29296875
-0.0055003813 -0.072866678 0.30273438
-0.0053743222 -0.22985041 0.3125
-0.0060810703 -0.12427568 0.32226563
-0.0066345674 -0.49695373 0.33203125
-0.0072581652 -0.12949109 0.34179688
-0.007040387 -0.33050776 0.3515625
-0.0070993928 0.71942806 0.36132813
-0.007535473 -0.52884221 0.37109375
-0.007181176 -0.29861927 0.38085938
-0.0082586696 0.11108816 0.390625
-0.0076487064 0.091195107 0.40039063
-0.0071423571 -0.80645084 0.41015625
-0.0072251698 -0.22694468 0.41992188
-0.0077857128 -0.66325068 0.4296875
-0.0085136024 0.19550323 0.43945313
-0.0082564559 0.14267862 0.44921875
-0.0086190784 -0.21167099 0.45898438
-0.0093289567 -0.51036477 0.46875
-0.0094567752 -0.36731362 0.47851563
-0.009443339 -0.48182905 0.48828125
-0.010310283 -0.76055527 0.49804688
-0.0097683249 0.32417476 0.5078125
-0.0099307178 0.37863851 0.51757813
-0.010373103 -0.86970627 0.52734375
-0.010526164 -0.67830086 0.53710938
-0.011208924 -0.40188432 0.546875
-0.010781576 -0.12211502 0.55664063
-0.011390556 -0.094100833 0.56640625
-0.012133814 0.22403896 0.57617188
-0.011898817 0.083744526 0.5859375
-0.011847935 -0.55089593 0.59570313
-0.012914208 0.28066337 0.60546875
-0.013189217 -0.83521008 0.61523438
-0.013579477 0.21666288 0.625
-0.012961327 -0.25354326 0.63476563
-0.013371422 0.23894012 0.64453125
-0.013294809 -0.53994358 0.65429688
-0.013808629 0.88199973 0.6640625
-0.013773222 0.15668571 0.67382813
-0.014701162 0.31284988 0.68359375
-0.014220446 -0.060647726 0.69335938
-0.014551288 -0.41984022 0.703125
-0.015187149 0.13738871 0.71289063
-0.015605099 0.23655593 0.72265625
-0.015859528 0.14044344 0.73242188
-0.015912239 -0.73239207 0.7421875
-0.016366618 -0.18306077 0.75195313
-0.017161869 -0.75519085 0.76171875
-0.016431501 -0.28423965 0.77148438
-0.017188966 -0.33468008 0.78125
-0.017288556 0.61064959 0.79101563
-0.01685138 -0.2913177 0.80078125
-0.017493958 -0.24683774 0.81054688
-0.017859064 -1.0483712 0.8203125
-0.017731614 0.095441937 0.83007813
-0.018303731 -0.46275556 0.83984375
-0.018842014 -0.29303133 0.84960938
-0.018707382 -0.68932772 0.859375
-0.019059991 -0.91142952 0.86914063
-0.018698297 -0.40397048 0.87890625
-0.019160515 -0.91329217 0.88867188
-0.019241152 -0.97155571 0.8984375
-0.019151062 -0.11958182 0.90820313
-0.020095211 -0.058114529 0.91796875
-0.020695722 0.79616904 0.92773438
-0.020233605 0.054985285 0.9375
-0.020981571 -0.18596649 0.94726563
-0.020653758 -0.1835078 0.95703125
-0.021109208 -0.96820295 0.96679688
